"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"371","Normal/Others","WS/MP18304/2024-2025/142748-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of the Road","23-Sep-2024","03-Dec-2024","298791","Vendor Identification"
"372","Normal/Others","WS/MP078/2025-2026/145564-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Ambulance Road from main road to the house of Sh Baldev Harijan Basti Chaghodi Gram Panchyat Bisha Development Block Kandaghat District Solan Executing agency Panchyat Samiti Kandaghat","04-Oct-2024","03-Nov-2025","100000","Vendor Identification"
"373","Normal/Others","WS/MP078/2025-2026/145565-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Pucca Path from main road Chail Kandaghat road to link road Village Kotla Gram Panchyat Sainj Development Block Kandaghat District Solan Executing Panchyat Samiti Kandaghat","04-Oct-2024","12-Dec-2025","100000","Vendor Identification"
"374","Normal/Others","WS/MP078/2025-2026/145830-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Ambulance road from Munda Ghat to Dumher, Village Dumher and G.P. Darbhog, Dev. Block Mashobra, District Shimla.  Executing agency BDO Mashobra.","07-Oct-2024","26-Aug-2025","300000","Vendor Identification"
"375","Normal/Others","WS/MP18304/2024-2025/146816-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Roads","13-Oct-2024","06-Jan-2025","199800","Physical Inspection"
"376","Normal/Others","WS/MP18304/2024-2025/146819-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Pucca Pathway’s","13-Oct-2024","15-Jan-2025","200000","Work Completed"
"377","Normal/Others","WS/MP18304/2024-2025/146823-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Pucca Pathway’s","13-Oct-2024","15-Jan-2025","200000","Vendor Identification"
"378","Normal/Others","WS/MP18304/2024-2025/146829-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Pucca Pathway’s","13-Oct-2024","19-Nov-2024","150000","Work Completed"
"379","Normal/Others","WS/MP18304/2024-2025/146833-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Link Road","13-Oct-2024","19-Nov-2024","200000","Vendor Identification"
"380","Normal/Others","WS/MP18304/2024-2025/146836-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Link Road","13-Oct-2024","19-Nov-2024","200000","Physical Inspection"
