"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"34","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33843","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"35","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33844","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"36","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33889","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"37","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33890","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"38","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33891","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"39","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33892","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"40","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33893","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"41","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33894","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"42","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33895","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"43","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33896","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
