"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"29","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","DODA(Deputy Commissioner Doda_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","parking facility","25-Aug-2026","640000","NA"
"30","Normal/Others","NA-Installing hand pumps","Jammu And Kashmir","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","hand pump","26-Aug-2026","363865","NA"
"31","Normal/Others","NA-Installing hand pumps","Jammu And Kashmir","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","hand pump","26-Aug-2026","363865","NA"
"32","Normal/Others","NA-Installing hand pumps","Jammu And Kashmir","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","hand pump","26-Aug-2026","363865","NA"
"33","Normal/Others","NA-Installing hand pumps","Jammu And Kashmir","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","hand pump","26-Aug-2026","400365","NA"
"34","Normal/Others","NA-Installing hand pumps","Jammu And Kashmir","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","hand pump","26-Aug-2026","400365","NA"
"35","Normal/Others","WS/MP18440/2026-2027/294457-Installing hand pumps","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","hand pump at mohalla qureshiyain, sora village bhatidar, tehsil mendhar","12-Jul-2026","355365","03-Aug-2026"
"36","Normal/Others","WS/MP18440/2026-2027/307845-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","Community bunker","25-Aug-2026","1600000","27-Aug-2026"
"37","Normal/Others","WS/MP839/2025-2026/252972-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of protection wall at the graveyard in mohalla  Molvian w no. 4 ,Salwa lower","08-Dec-2025","300000","04-Feb-2026"
"38","Normal/Others","WS/MP839/2025-2026/252211-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of Brick Path near  the home of Farooq ,w .no 4 panchayat-Bandichechian ,Block NSSB , Punch.","04-Dec-2025","98000","07-Feb-2026"
"39","Normal/Others","WS/MP839/2026-2027/293752-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of C/Wall near the Khalid Khan W.No:-07, Kehnu Kalani Mandi Poonch.","09-Jul-2026","500000","31-Jul-2026"
"40","Normal/Others","WS/MP839/2026-2027/293758-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of C/wall near the land of Asif Iqbal W.No:-03, Kulani Sathra","09-Jul-2026","200000","31-Jul-2026"
"41","Normal/Others","WS/MP839/2026-2027/293767-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of Play field at W.No:-07, Bella,Kehnu Sathra","09-Jul-2026","200000","31-Jul-2026"
"42","Normal/Others","NA-Construction of community centers and community halls","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of community hall near jagti migrant quarters,ward-2,panchayat jagti,block-nag rota Jammu","04-Dec-2025","500000","NA"
"43","Normal/Others","WS/MP839/2025-2026/257311-Construction of community centers and community halls","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of platform and allied works at Lal Madarsa,panchayat Sunjwan Lower,Block Satwari","05-Jan-2026","500000","16-Jan-2026"
"44","Normal/Others","NA-Installing hand pumps","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","INSTALLATION OF HAND PUMP AT MAL MATA MANDIR WAD NO 3 MOHALLA LAPARA VILLAGE MANGNAR TEHSIL HAVELLI POONCH","11-Jan-2026","300000","NA"
"45","Normal/Others","NA-Installing hand pumps","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","INSTALLATION OF HAND PUMP AT VILLAGE NAKA MANJHARI UPPER WARD NO 2 TEHSIL MENDHAR","11-Jan-2026","300000","NA"
"46","Normal/Others","WS/MP839/2025-2026/258705-Installing hand pumps","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","INSTALLATION OF HAND PUMP AT MOHALLA THAKALLAYAN NEAR ASHRAF KHAN HOUSE WARD NO 3 DHARANA LOWER PLEASE SEE SERIAL NO 3 ENCLOSED LIST","11-Jan-2026","300000","09-Mar-2026"
