"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"27","Normal/Others","WS/MP18226/2024-2025/169282-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Lakhaha Gurudwara intersection in village Lakhaha.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"28","Normal/Others","WS/MP18226/2024-2025/169071-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near Pehalwan Baba intersection in Gram Panchayat Koraiya Mufarat.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"29","Normal/Others","WS/MP18226/2024-2025/169283-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way  near Gurudwara intersection in village Subhashnagar.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"30","Normal/Others","WS/MP18226/2024-2025/169314-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way  near the intersection of Brijendra Patel house in village Pareli.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"31","Normal/Others","WS/MP18226/2024-2025/169284-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Hazratpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"32","Normal/Others","WS/MP18226/2024-2025/169312-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Veerpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"33","Normal/Others","WS/MP18226/2024-2025/169315-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Ahidanav Baba house intersection in village Khargapur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"34","Normal/Others","WS/MP18226/2024-2025/169317-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Arvind Verma house in village Maharajnagar.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"35","Normal/Others","WS/MP18226/2024-2025/169319-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mata Ji Ka Mandir intersection in village Wazirnagar.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"36","Normal/Others","WS/MP18226/2024-2025/169318-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way  near the intersection in village Bhundwara.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"37","Normal/Others","WS/MP18226/2024-2025/169320-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way  near Lalganj Masjid intersection in village Lalganj.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"38","Normal/Others","WS/MP18226/2024-2025/169316-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way  near Jalalpur main intersection in village Jalalpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"39","Normal/Others","WS/MP18226/2024-2025/169321-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way  near Aliganj Zaheer Khan shop intersection in village Aliganj.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"40","Normal/Others","WS/MP18226/2024-2025/169331-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shankarji temple in Majra Maharajnagar of Gram Panchayat Wazirnagar","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"41","Normal/Others","WS/MP18226/2024-2025/169330-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Pastor Gurudwara intersection in village Pastor.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"42","Normal/Others","WS/MP18226/2024-2025/169335-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the house intersection of Babesar Santram Bhurji in village Babesar.","UTKARSH VERMA MADHUR","KHERI","N/A","23-Apr-2026","166050"
"43","Normal/Others","WS/MP18226/2024-2025/169334-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way  near the intersection of Koiliha Baba Saheb in village Koilhiya.","UTKARSH VERMA MADHUR","KHERI","Images","23-Apr-2026","166050"
"44","Normal/Others","WS/MP18226/2024-2025/169333-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the house intersection of Maharaj Nagar Man Singh in Village Maharaj Nagar.","UTKARSH VERMA MADHUR","KHERI","Images","23-Apr-2026","166050"
"45","Normal/Others","WS/MP18226/2024-2025/169332-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Billinganj Chhotu Mahavat intersection in village Billinganj.","UTKARSH VERMA MADHUR","KHERI","Images","23-Apr-2026","166050"
"46","Normal/Others","WS/MP18226/2024-2025/169336-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the house intersection of Bachchu Khan in village Laguchi.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"47","Normal/Others","WS/MP18226/2024-2025/169339-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Padriyatula.","UTKARSH VERMA MADHUR","KHERI","Images","23-Apr-2026","166050"
"48","Normal/Others","WS/MP18226/2024-2025/169338-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Muda Savaran.","UTKARSH VERMA MADHUR","KHERI","Images","23-Apr-2026","166050"
"49","Normal/Others","WS/MP18226/2024-2025/169337-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid  intersection in village Ibrahimpur.","UTKARSH VERMA MADHUR","KHERI","Images","23-Apr-2026","166050"
"50","Normal/Others","WS/MP18226/2024-2025/169346-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Akalgarh.","UTKARSH VERMA MADHUR","KHERI","N/A","19-Mar-2026","166050"
"51","Normal/Others","WS/MP18226/2024-2025/169345-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Ambara.","UTKARSH VERMA MADHUR","KHERI","N/A","19-Mar-2026","166050"
"52","Normal/Others","WS/MP18226/2024-2025/169344-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara of Gram Panchayat Malpur","UTKARSH VERMA MADHUR","KHERI","N/A","19-Mar-2026","166050"
"53","Normal/Others","WS/MP18226/2024-2025/169343-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Neeraj Verma shop intersection in village Rasoolpanah.","UTKARSH VERMA MADHUR","KHERI","N/A","19-Mar-2026","166050"
"54","Normal/Others","WS/MP18226/2024-2025/169351-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the house intersection of Sukhwinder Singh son of Gulzar Singh in village Daudpur.","UTKARSH VERMA MADHUR","KHERI","N/A","19-Mar-2026","166050"
"55","Normal/Others","WS/MP18226/2024-2025/169350-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Basant Kashyap house intersection in village Ramnagar.","UTKARSH VERMA MADHUR","KHERI","N/A","19-Mar-2026","166050"
"56","Normal/Others","WS/MP18226/2024-2025/169349-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Johaura.","UTKARSH VERMA MADHUR","KHERI","N/A","19-Mar-2026","166050"
"57","Normal/Others","WS/MP18226/2024-2025/169348-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Daudpur.","UTKARSH VERMA MADHUR","KHERI","N/A","19-Mar-2026","166050"
"58","Normal/Others","WS/MP18226/2024-2025/169353-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Baslipur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"59","Normal/Others","WS/MP18226/2024-2025/169352-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the newly constructed Gurudwara intersection in village Jahanpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"60","Normal/Others","WS/MP18226/2024-2025/169313-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way  near the intersection of Mukesh Verma house in village Nangapur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"61","Normal/Others","WS/MP18226/2024-2025/169042-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Durga Mandir intersection in village Jagdishpur of Gram Panchayat Saidapur Bhau.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"62","Normal/Others","WS/MP18226/2024-2025/168942-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shivala intersection in village Midaniya Shivalapurwa","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"63","Normal/Others","WS/MP18226/2024-2025/169043-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near village Ghosiana Masjid intersection of Gram Panchayat Saidapur Devkali.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"64","Normal/Others","WS/MP18226/2024-2025/168943-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mata Rani Mandir intersection in village Mathana.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"65","Normal/Others","WS/MP18226/2024-2025/169044-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of the house of Honorable Purv MLA Ram Sharan ji in Village Panchayat Ramuapur Bijauli.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"66","Normal/Others","WS/MP18226/2024-2025/168944-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Matarani and Shiv Ji Mandir intersection in village Bhansadiya.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"67","Normal/Others","WS/MP18226/2024-2025/169045-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Arvind Raj house intersection in Gram Panchayat Pachpedwa.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"68","Normal/Others","WS/MP18226/2024-2025/168945-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shiv ji temple intersection in village Chhauch.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"69","Normal/Others","WS/MP18226/2024-2025/169046-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mahesh Kanojia house intersection in Gram Panchayat Rajaganj.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"70","Normal/Others","WS/MP18226/2024-2025/168946-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Chhauch.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"71","Normal/Others","WS/MP18226/2024-2025/169047-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Veerpal Verma house intersection in Gram Panchayat Jiganha.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"72","Normal/Others","WS/MP18226/2024-2025/168947-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Ved Mata Gayatri Shakti Peeth intersection in Municipality Lakhimpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"73","Normal/Others","WS/MP18226/2024-2025/169048-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the temple intersection in village Karanpur in Gram Panchayat Karanpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"74","Normal/Others","WS/MP18226/2024-2025/168948-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Shivalapurwa.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"75","Normal/Others","WS/MP18226/2024-2025/169049-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near the temple intersection in Gram Panchayat Murtiha.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"76","Normal/Others","WS/MP18226/2024-2025/168949-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shitala Mata Mandir intersection in village Katiya.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"77","Normal/Others","WS/MP18226/2024-2025/168950-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of the house of Prithvipal Bhargava former head in village Markhapur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"78","Normal/Others","WS/MP18226/2024-2025/169050-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Rajepur Devi Mandir intersection of Gram Panchayat Kaimhra.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"79","Normal/Others","WS/MP18226/2024-2025/168951-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Chhanga Lal BDC house in village Saidhari.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"80","Normal/Others","WS/MP18226/2024-2025/169051-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Khakhraha Mandir intersection in Gram Panchayat Aman Lala.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"81","Normal/Others","WS/MP18226/2024-2025/168961-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Nakki Baba Mandir intersection in village Sehrua.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"82","Normal/Others","WS/MP18226/2024-2025/169055-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way at the intersection near the masjid in Gram Panchayat Raunsa.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"83","Normal/Others","WS/MP18226/2024-2025/168962-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Kali Mandir in the middle of village Jhasiya Katiya.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"84","Normal/Others","WS/MP18226/2024-2025/169054-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Durga Mandir intersection in village Pipariya Andu of Gram Panchayat Lakesar.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"85","Normal/Others","WS/MP18226/2024-2025/168963-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Hardaspur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"86","Normal/Others","WS/MP18226/2024-2025/169056-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mote Baba Mandir intersection in Gram Panchayat Kodhaiya.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"87","Normal/Others","WS/MP18226/2024-2025/168964-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Hanuman Mandir intersection in village Bairagar.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"88","Normal/Others","WS/MP18226/2024-2025/169057-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in village Nardwalpurwa of Gram Panchayat Nardwal.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
