"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"612","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169361","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"613","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169361","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"614","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169362","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"615","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169362","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"616","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169363","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"617","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169363","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"618","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169364","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"619","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169364","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"620","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169367","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"621","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169367","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"622","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169368","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"623","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169368","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"624","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169369","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"625","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169369","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"626","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169370","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"627","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169370","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"628","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169371","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"629","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169371","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"630","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169372","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"631","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169372","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"632","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169373","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
