"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"34","Normal/Others","WS/MP893/2026-2027/265052-Construction of rooms and halls in school and colleges","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Ambikanagar High School Stadium","03-Feb-2026","28-Jul-2026","1500000","Sanction"
"35","Normal/Others","WS/MP888/2025-2026/207350-Purchase of books and periodicals for libraries/digitization of library books","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Purchase of Books for Student of  7 number of  Schools and 2 numbers of Universities.","07-Jun-2025","21-Feb-2026","19596140","Work partially Completed"
"36","Normal/Others","WS/MP18383/2025-2026/240989-Purchase of smart boards, visual display units and projectors","West Bengal","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Smart Class Room including Beautification Work at Keshiary High School(H.S), P.O.- Keshiary, Paschim Medinipur,Keshiary-I GP, Keshiary Block.","09-Oct-2025","02-Mar-2026","596332","Physical Inspection"
"37","Normal/Others","WS/MP18383/2026-2027/241004-Purchase of smart boards, visual display units and projectors","West Bengal","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Smart Class Room including Beautification Work at Rajnagar Junior Girls High School, Village- Rajnagar, P.O- Chetua Rajnagar, Rajnagar Gram Panchayat,Daspur-I Block","09-Oct-2025","02-Jul-2026","596332","Physical Inspection"
"38","Normal/Others","WS/MP18383/2025-2026/177016-Setting up of laboratories","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Financial Package For Classroom and Labrotary Furniture at Banpura Taraknath High School(H.S.) under development block Sankrail,PO-Banpura,Jhargram,West Bengal-721143","22-Feb-2025","05-May-2025","500000","Physical Inspection"
"39","Normal/Others","WS/MP888/2025-2026/140127-Purchase of furniture and fixtures for educational purposes","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Seating furniture (Low and High Bench set) for Maharaja Nripendra Narayan High School (H.S.) and other 13 School of Coochbehar District","09-Sep-2024","21-Jul-2025","9975000","Physical Inspection"
"40","Normal/Others","WS/MP18383/2025-2026/177014-Purchase of furniture and fixtures for educational purposes","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Financial Package For Classroom and Labrotary Furniture at Laudaha V.A.S.T. Vidyapith (H.S.) under development block Sankrail,PO-Laudaha,Jhargram,West Bengal-721135","22-Feb-2025","05-May-2025","500000","Physical Inspection"
"41","Normal/Others","WS/MP888/2025-2026/207351-Purchase of furniture and fixtures for educational purposes","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","seating furniture (Low and High Bench set) for Siddheswari Kokila Devi High School (H.S.) and others 21 Schools of Cooch Behar district.","07-Jun-2025","21-Feb-2026","19950000","Vendor Identification"
"42","Trust and Society","WS/MP18383/2026-2027/229644-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Purchasing of a Computerized Eye Testing Machine for Underprivileged People at Dibya Jyoti,1.H.35 Ramesh Dutta Street, Kolkata- 700006.","27-Aug-2025","03-Jul-2026","490000","Vendor Identification"
"43","Normal/Others","WS/MP893/2024-2025/171163-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Purchase of Mobile Medical Unit","31-Jan-2025","11-Feb-2025","72500000","Vendor Identification"
"44","Normal/Others","WS/MP18299/2024-2025/171164-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","Purchase of Mobile Medical Unit","04-Feb-2025","11-Feb-2025","49000000","Vendor Identification"
"45","Normal/Others","WS/MP218/2024-2025/171165-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","Purchase of Mobile Medical Unit","01-Feb-2025","11-Feb-2025","67500000","Vendor Identification"
"46","Normal/Others","WS/MP217/2024-2025/171179-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","Purchase of Mobile Medical Unit","01-Feb-2025","11-Feb-2025","44848000","Vendor Identification"
"47","Normal/Others","WS/MP220/2024-2025/171199-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Derek O' Brien (2023-29) (2023-2029)","Elected MP","Purchase of Mobile Medical Unit","01-Feb-2025","11-Feb-2025","73500000","Vendor Identification"
"48","Normal/Others","WS/MP18383/2026-2027/219795-Providing drains and gutters for public drainage","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of  Surface Drain With Cover Slab From Biswanath Biswas(S.O Late Gopal Chandra Biswas) House to Khal VIA G.S.F Primary School at Jitpur under Raghunathpur Gram Panchayat, Under Tehatta-I Block","18-Jul-2025","13-May-2026","950000","Vendor Identification"
"49","Normal/Others","WS/MP218/2025-2026/267173-Construction of public toilets and bathrooms","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","Development of latrine at 34, Judges Court Road in ward-82","10-Feb-2026","16-Feb-2026","1700000","Vendor Identification"
"50","Normal/Others","WS/MP888/2025-2026/150710-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block  road  with GSB subgrade  from Action Club near Msanbabar Path on Kakina road to near House of Sri Tarakanta Barman under Gosanimari-II G.P within Dinhat-I block of District Cooch Behar.","04-Nov-2024","29-Oct-2025","6496210.68","Work partially Completed"
"51","Normal/Others","WS/MP888/2025-2026/150711-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block  road with GSB subgrade from Natabar Dham Choupathi to near house of Sri Nandura Barman under Gosanimari-II G.P within Dinhata-I block of District Cooch Behar.","04-Nov-2024","29-Oct-2025","8617886","Work partially Completed"
"52","Normal/Others","WS/MP218/2025-2026/155442-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","DEVELOPMENT OF FERRY GHAT NEAR BORO MAA MANDIR, NAIHATI, NORTH 24 PGS.","27-Nov-2024","07-Apr-2025","999989","Physical Inspection"
"53","Normal/Others","WS/MP888/2025-2026/179982-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block road with GSB subgrade from Torsha band near house of Anjali Sarkar to Masan Path under Madhupur G.P. within Cooch Behar-II block of District Cooch Behar.","07-Mar-2025","29-Oct-2025","8245381","Sanction"
"54","Normal/Others","WS/MP888/2025-2026/207349-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block road with GSB subgrade from Chandanchoura- Astomir ghat road to Samsan ghat.","07-Jun-2025","21-Feb-2026","1117178","Vendor Identification"
"55","Normal/Others","WS/MP18383/2025-2026/215932-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Malda(DISTRICT MAGISTRATE MALDA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of PCC road from B.C. Roy Road to H.O Bhusan Mandal in Ward no-21,under Englishbazar Municipality,Malda and Construction of PCC drain from B.C. Roy Road to Sukanta Pally main high drain via Hanuman Temple in Ward no-21,under Englishbazar Municipality,Malda","08-Jul-2025","11-Feb-2026","1023486","Work partially Completed"
"56","Normal/Others","WS/MP18383/2025-2026/219810-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Black Top road from the Khamarpara more near H.O. Haren Sarkar (Fulia-Taherpur main road at J.L no-70 Buincha towards end to Khamarpara Kalimandir (Badkulla Main Road) via H.O. Bhanu Sarkar to towards the H.O. Sribash Mondol within Nabla Gram Panchayat Under Santipur Development Block","18-Jul-2025","14-Nov-2025","1484547","Vendor Identification"
