"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"33","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Boundary walls and basic site development of Public Community open space near Kopila Jaher Than area under Khatra Block, District - Bankura","03-Feb-2026","200000","NA"
"34","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Boundary walls and basic site development of Public Community open space near Dharramouli Jaher Than area under Khatra Block, District - Bankura","03-Feb-2026","200000","NA"
"35","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Boundary walls and basic site development of Public Community open space near Chata Tola Jaherthan area under Khatra Block, District - Bankura","03-Feb-2026","200000","NA"
"36","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Boundary walls and basic site development of Public Community open space near Tiring Jaherthan area under Khatra Block, District - Bankura","03-Feb-2026","200000","NA"
"37","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Boundary walls and basic site development of Public Community open space near Jibanpur Jaherthan area under Khatra Block, District - Bankura","03-Feb-2026","200000","NA"
"38","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Boundary walls and basic site development of Public Community open space near Satnala Jaherthan area under Ranibandh Block, District - Bankura","03-Feb-2026","200000","NA"
"39","Normal/Others","WS/MP18383/2025-2026/192076-Construction of rooms and halls in school and colleges","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Dinning hall, Kitchen and Class room at Dhaban Netaji Vidyapith, PO-Dhaban under development block- Chhatna , Bankura, West Bengal-722137","17-Apr-2025","3000000","19-Dec-2025"
"40","Normal/Others","WS/MP893/2026-2027/265052-Construction of rooms and halls in school and colleges","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Ambikanagar High School Stadium","03-Feb-2026","1500000","28-Jul-2026"
"41","Normal/Others","NA-Construction of rooms and halls in school and colleges","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Development of SM High school (H.S) under Gargaria Gram Panchyat.","03-Feb-2026","300000","NA"
"42","Normal/Others","WS/MP18383/2025-2026/215933-Construction of rooms and halls in school and colleges","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of  Hall rooms at Hetampur Raj Girls High School,PO- Hetampur Raj Bati, Dist-Birbhum, Pin-731124","08-Jul-2025","1198242","22-Aug-2025"
