"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"127","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134058","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","995768"
"128","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134059","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","995961"
"129","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134060","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","995312"
"130","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134061","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","996093"
"131","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134062","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","995966"
"132","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134063","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","995021"
"133","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134064","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","20-Feb-2025","LUCKY ASSOCIATES","Payment Success","995281"
"134","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134065","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","23-Dec-2024","LUCKY ASSOCIATES","Payment Success","994379"
"135","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134066","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","24-Dec-2024","LUCKY ASSOCIATES","Payment Success","994546"
"136","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134067","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","24-Dec-2024","LUCKY ASSOCIATES","Payment Success","995432"
"137","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP015/2024-2025/134068","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","24-Dec-2024","LUCKY ASSOCIATES","Payment Success","994756"
