"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"30","Normal/Others","WS/MP015/2023-2024/37910-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing B.T Road at L.S.6200M to 6500M.in Thottiyankulam Channel Bund at Andipatti Vilakku in Alankulam.(Tk),Tenkasi(Dt).(SC Area)-2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","31-Oct-2023","2459492"
"31","Normal/Others","WS/MP015/2023-2024/37911-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing B.T Road at L.S.6500M to 6800M.in Thottiyankulam Channel Bund at Andipatti Vilakku in Alankulam.(Tk),(SC Area)-2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","31-Oct-2023","2468981"
"32","Normal/Others","WS/MP015/2023-2024/37912-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing B.T Road at L.S.6800M to 7100M.in Thottiyankulam Channel Bund at Andipatti Vilakku in Alankulam.(Tk),(SC Area)-2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","31-Oct-2023","2459127"
"33","Normal/Others","WS/MP015/2023-2024/38333-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Krishna 1st & 2nd Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","10-Jan-2024","997639"
"34","Normal/Others","WS/MP015/2023-2024/38334-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Sannathi 1st Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","996672"
"35","Normal/Others","WS/MP015/2023-2024/38335-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Surya Nagar 9st Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997398"
"36","Normal/Others","WS/MP015/2023-2024/38336-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Annai Therasa Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997690"
"37","Normal/Others","WS/MP015/2023-2024/38337-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Gandhi Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997143"
"38","Normal/Others","WS/MP015/2023-2024/38250-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Kamarajar 1st Street West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","996399"
"39","Normal/Others","WS/MP015/2023-2024/38247-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Abdulkalam Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","998161"
"40","Normal/Others","WS/MP015/2023-2024/38246-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Raja Veethi North  side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","997304"
"41","Normal/Others","WS/MP015/2023-2024/38249-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Sanathi Street  in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","996313"
"42","Normal/Others","WS/MP015/2023-2024/38248-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at V.T.Mani Nagar main road  East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","996608"
"43","Normal/Others","WS/MP015/2023-2024/38245-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Kamarajar 1st Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","996399"
"44","Normal/Others","WS/MP015/2023-2024/38254-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Raja Veethi South side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2024","998320"
"45","Normal/Others","WS/MP015/2023-2024/38253-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Abdulkalam Street West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2024","997401"
"46","Normal/Others","WS/MP015/2023-2024/38252-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at V.T.Mani Nagar Main road West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2024","996215"
"47","Normal/Others","WS/MP015/2023-2024/38364-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Kirama Savadi road to Murali House in Chinnapatti Village,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2024","996792"
"48","Normal/Others","WS/MP015/2023-2024/38361-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Chatrapatti Main road to Murali House in Chinnapatti Village,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998022"
"49","Normal/Others","WS/MP015/2023-2024/38360-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Natham NH road to Kirama Savadi road in Chinnapatti Village,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","996241"
"50","Normal/Others","WS/MP015/2023-2024/11881-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at First street North Side in Annai Velu Nagar, Karuvanur village, Madurai District. (SC Area)(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998557"
"51","Normal/Others","WS/MP015/2023-2024/11880-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Thavasipudhur Main Road West Side in Karuvanur village, Madurai District. (SC Area)(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998043"
"52","Normal/Others","WS/MP015/2023-2024/11878-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Thavasipudhur Main Road East Side in Karuvanur village, Madurai District. (SC Area) (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998591"
"53","Normal/Others","WS/MP015/2023-2024/11867-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at Ayyanar city Main Road south side in Chettikulam Village,Madurai District (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998870"
"54","Normal/Others","WS/MP015/2023-2024/11869-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam Road at Ayyanar City Main Road North side in Chettikulam village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998911"
"55","Normal/Others","WS/MP015/2023-2024/11879-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at First street South Side in Annai Velu Nagar, Karuvanur village, Madurai District. (SC Area) (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998545"
"56","Normal/Others","WS/MP015/2023-2024/11764-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Annai Velu Main Street South side in Veerapandi Village,Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998496"
"57","Normal/Others","WS/MP015/2023-2024/11755-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at First Street in Annai Velu City, Veerapandi Village,Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","998057"
"58","Normal/Others","WS/MP015/2023-2024/11757-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Second Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997690"
"59","Normal/Others","WS/MP015/2023-2024/11758-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Third Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997642"
"60","Normal/Others","WS/MP015/2023-2024/11759-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Fourth Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997667"
"61","Normal/Others","WS/MP015/2023-2024/11756-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road from AlanganallurMain Road to Pillayar Kovil in Annai Velu city,Veerapandi Village,Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997940"
"62","Normal/Others","WS/MP015/2023-2024/11760-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Fifth Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997685"
"63","Normal/Others","WS/MP015/2023-2024/11762-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Annai Velu City Main Street North Side in Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997847"
"64","Normal/Others","WS/MP015/2023-2024/11761-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Cross Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","998567"
"65","Normal/Others","WS/MP015/2023-2024/11871-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam Road at  Golden City Main Road West Side in Chettikulam village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997847"
"66","Normal/Others","WS/MP015/2023-2024/11862-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at Golden city Main Road East Side in Chettikulam Village,Madurai District(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997921"
"67","Normal/Others","WS/MP015/2023-2024/11864-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at Vinayaga Nagar Street Golden city , Chettikulam Village,Madurai District(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2024","998194"
"68","Normal/Others","WS/MP015/2023-2024/11866-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at First street in Deiveni  Nagar,Golden city , Chettikulam Village,Madurai District (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2024","998566"
"69","Normal/Others","WS/MP015/2023-2024/11868-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam Road at cross street in Ayyanar city,Chettikulam village, Madurai District. (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2024","998558"
"70","Normal/Others","WS/MP015/2023-2024/11870-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam Road at First Street North Side in Golden City,  Chettikulam village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2024","998621"
"71","Normal/Others","WS/MP015/2023-2024/11865-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at Deiveni  Nagar Main Road in Golden city , Chettikulam Village,Madurai District(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","26-Jan-2024","998175"
