"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"44","Normal/Others","WS/MP015/2023-2024/11906-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of Flood Retaining wall of Avudayarkulam Marukal Channel at Thiruchendur Taluk. Thoothukudi District. LS.670 M to 725 M (2022-2023)","21-Aug-2023","19-Oct-2023","2495894","Physical Inspection"
"45","Normal/Others","WS/MP166/2024-2025/113067-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of Flood protection wall at Nadukombai Karaipottanar river left side sf no.159, 160, sendamangalam","23-Feb-2024","11-Jun-2024","744490","Physical Inspection"
"46","Normal/Others","WS/MP015/2024-2025/137855-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of  flood Production wall in  Kadambankulam Tank Sluice No.1 Left side in Kadambankulam Village of Melaneelidanallur (Tk), Tenkasi District.","31-Aug-2024","20-Nov-2024","2489393","Physical Inspection"
"47","Normal/Others","WS/MP015/2024-2025/137856-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of  flood Production wall in  Kadambankulam Tank Sluice No.1 Right side in Kadambankulam Village of Melaneelidanallur (Tk), Tenkasi District.","31-Aug-2024","20-Nov-2024","2489393","Physical Inspection"
"48","Normal/Others","WS/MP166/2024-2025/141481-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Kalappanaickenpatti  - S No.188-6 Muniyaappan kovil - Construction of flood control wal -reg","18-Sep-2024","19-Sep-2024","700000","Physical Inspection"
"49","Normal/Others","WS/MP015/2025-2026/204210-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of Retaining wall in Posukkudi village in Posukkudi Panchayat","10-Jun-2025","16-Jul-2025","1000000","Work Completed"
"50","Normal/Others","WS/MP015/2025-2026/218529-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","construction of flood control","15-Jul-2025","05-Dec-2025","2495577","Physical Inspection"
"51","Normal/Others","WS/MP015/2025-2026/218530-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of  flood Production wall in Aaladiyur Village South Koodaimelakiyan.","15-Jul-2025","05-Dec-2025","2489736","Physical Inspection"
"52","Normal/Others","WS/MP015/2025-2026/218568-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of toe wall at Ramnad-Emaneshwaram road to Karaimelkudieruppu road kanmai bund side in Vaniyavallam Panchayat.","15-Jul-2025","12-Sep-2025","1000000","Physical Inspection"
"53","Normal/Others","WS/MP18439/2025-2026/250128-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","Construction of Flood Protection wall in weir in Athalaikulam Tank, Thirumalapuram village,","24-Nov-2025","20-Feb-2026","2492894","Physical Inspection"
"54","Normal/Others","WS/MP015/2025-2026/253740-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of body wall and apron in surplus weir of  Sayamalai tank at sayamalai village in kuruvikulam union  Tenkasi  District","20-Dec-2025","20-Feb-2026","2489653","Physical Inspection"
"55","Normal/Others","WS/MP015/2025-2026/253741-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of flood production wall in surplus weir of Sayamalai tank at sayamalai village in kuruvikulam union  Tenkasi  District","20-Dec-2025","20-Feb-2026","2496602","Physical Inspection"
"56","Normal/Others","WS/MP015/2025-2026/253742-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Constructio of cut off wall and apron in weir no.2 in echantha periyakulam tank.in echantha village","20-Dec-2025","20-Feb-2026","2472600","Physical Inspection"
"57","Normal/Others","WS/MP015/2025-2026/253743-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of flood production wall in weir No.1 in Echantha periyakulam tank Echantha village in Melaneelidanallur union, Tenkasi  District","20-Dec-2025","20-Feb-2026","2482652","Physical Inspection"
"58","Normal/Others","WS/MP166/2025-2026/259902-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of protection wall at SF number 31 1 sundarangi Palayam Malayalam road Hamlet of Warangal","19-Jan-2026","27-Jan-2026","499673","Physical Inspection"
"59","Normal/Others","WS/MP015/2023-2024/5145-Construction of rainwater harvesting structures","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Construction of Retaining wall from North Kakkoor Jeyhindpuram Oorani at Kakkoor Pt (2022-2023)","21-Jul-2023","23-Aug-2023","1000000","Work Completed"
"60","Normal/Others","WS/MP165/2026-2027/273819-Construction of rainwater harvesting structures","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","Construction of rainwater drainage in Ward No. 14, S.S. Nagar at Singampunari Town Panchayat","16-Jun-2026","10-Aug-2026","400000","Physical Inspection"
"61","Normal/Others","WS/MP166/2024-2025/125566-Construction of veterinary hospitals and dispensaries","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of In Patient cattle shed and farmer resting shed in North western area of Veterinary college and Research Institute New hospital campus, Lattuvadi, Namakkal","15-Mar-2024","11-Jun-2024","898726","Physical Inspection"
"62","Normal/Others","WS/MP166/2024-2025/125567-Construction of veterinary hospitals and dispensaries","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of sheep and goat shed and infectious animal shed in the New hospital campus of Veterinary college and Research Institute, Lathuvadi campus","15-Mar-2024","11-Jun-2024","516948","Physical Inspection"
"63","Normal/Others","WS/MP166/2024-2025/178253-Setting up of farmers’ training and assistance centers","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of new cocoon marketing godown for sericulture office at rasipuram","28-Feb-2025","28-Feb-2025","21787317","Physical Inspection"
"64","Normal/Others","WS/MP166/2025-2026/236555-Setting up of farmers’ training and assistance centers","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of Farmers Community Hall and Training Centre at  Central Co operative Bank Office Campus in Namakkal Municipal Corporation.","22-Sep-2025","30-Sep-2025","6500000","Work partially Completed"
"65","Normal/Others","WS/MP166/2025-2026/241477-Setting up of farmers’ training and assistance centers","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of an additional building for the Farmers Community Hall and Training Center in the Namakkal District Central Cooperative Bank office Camups  under Namakkal Corporation","10-Oct-2025","16-Oct-2025","4500000","Work partially Completed"
"66","Normal/Others","WS/MP166/2025-2026/259901-Setting up of farmers’ training and assistance centers","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of a trainers room at the farmers  community hall and training center within the premises of the Namakkal District Central Cooperative Bank office, located in the Namakkal Municipal Corporation area.","19-Jan-2026","27-Jan-2026","1500000","Sanction"
"67","Normal/Others","WS/MP015/2023-2024/5133-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Paver Block Road - 2022-2023","21-Jul-2023","10-Aug-2023","500000","Work Completed"
"68","Normal/Others","WS/MP015/2023-2024/5141-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Paver block road from RamanathaSwamy Kovil Street in Puliyangudi Village at Puliyangudi Pt. (2022-2023)","21-Jul-2023","10-Aug-2023","500000","Work Completed"
