"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"19","Normal/Others","WS/MP086/2025-2026/209978-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell and pipe line for ward no.147 Bangalore Urban, BTM assembly constituency, GHI Police quartres","18-Jun-2025","499239","19-Dec-2025"
"20","Normal/Others","WS/MP086/2025-2026/188706-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work Near Doddabasti Village Under Sulikere Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","800000","21-Jun-2025"
"21","Normal/Others","WS/MP086/2025-2026/188707-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore on the main road of Chikkabasti village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","400000","21-Jun-2025"
"22","Normal/Others","WS/MP086/2025-2026/188710-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of bore well near Chikkabasti village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","265000","21-Jun-2025"
"23","Normal/Others","WS/MP086/2025-2026/188713-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore inside Challaghatta village under Ramohalli Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","410000","21-Jun-2025"
"24","Normal/Others","WS/MP086/2025-2026/188719-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore near Ramayyana Lake in Kodipalya Village under Ramohalli Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","405000","21-Jun-2025"
"25","Normal/Others","WS/MP086/2025-2026/188721-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of Bore Well near Royal Bike Showroom Kaggalipur-1 in Kaggalipur Village under Kaggalipur Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","260000","21-Jun-2025"
"26","Normal/Others","WS/MP086/2025-2026/188722-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of Bore Well near Kaggalipur-2, Kaggalipur Village under Kaggalipur Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","260000","21-Jun-2025"
"27","Normal/Others","WS/MP086/2025-2026/188724-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of pump motor near Hombamma barangay of Tataguni village under Agar Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","500000","21-Jun-2025"
"28","Normal/Others","WS/MP086/2025-2026/188734-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of pump motor near Chikkakodigehalli Village Ratna Barangay under Kodigehalli Gram Panchayat, Bengaluru Uttar Taluk","02-Apr-2025","500000","21-Jun-2025"
"29","Normal/Others","WS/MP086/2025-2026/188737-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work Near Seegehalli Village Under Kodigehalli Gram Panchayat, Bangalore Uttar Taluk","02-Apr-2025","400000","21-Jun-2025"
"30","Normal/Others","WS/MP086/2025-2026/188739-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work in Dhananayakanahalli Village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","400000","21-Jun-2025"
"31","Normal/Others","WS/MP086/2025-2026/188741-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New borehole drilling work near Channenahalli Milk Producers Cooperative Society under Channenahalli Gram Panchayat, Bangalore South Taluk","02-Apr-2025","400000","21-Jun-2025"
"32","Normal/Others","WS/MP086/2025-2026/194196-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of borewell and pump motor at Bangalore urban, Yelahanka Talluk, Hesaraghatta Hobali, Shivakote Grama Panchayat, Muttugadahalli Village","24-Apr-2025","500000","12-Nov-2025"
"33","Normal/Others","WS/MP086/2025-2026/171389-Construction of community centers and community halls","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore district, Ward No.145, Construction of MS pipe and Puff roof roping for Hop Coms shop","01-Feb-2025","499046","05-Apr-2025"
"34","Normal/Others","WS/MP086/2025-2026/171396-Construction of boundary walls of existing public and community buildings","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore District, BTM constituency, KSRP 3 Betalian, Jakkasandra, Providing additional facilities to the existing community building","01-Feb-2025","499650","05-Apr-2025"
"35","Normal/Others","WS/MP086/2024-2025/152809-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Continued work of construction of library room VGS Elite International School at Bangalore North Taluk, Nagaruru Village, Dasanpura Hobli, Madnayakanahalli post","16-Nov-2024","1000000","07-Jan-2025"
"36","Normal/Others","WS/MP086/2026-2027/278894-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Development of college at Bangalore BTM layout, jakkasandra ward no 173, Government Higher primary school and work to be undertaken by Executive Engineer-3, KRIDL","23-Apr-2026","4500000","14-Jul-2026"
"37","Repair and Renovation","WS/MP086/2026-2027/278895-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Development of Essentials at Bangalore District, BTM layout constituency, Rajendranagar GOvernment Junior Primary School","23-Apr-2026","500000","19-Aug-2026"
"38","Normal/Others","WS/MP086/2026-2027/278896-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Developmental work in Bangalore District, BTM layout Constituency, Rajendranagar government Lower primary school","23-Apr-2026","500000","01-Aug-2026"
"39","Normal/Others","WS/MP086/2025-2026/209983-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of compound wall at ward no.148, 20th cross, government school, Bangalore urban, BTM constituency","18-Jun-2025","499402","20-Dec-2025"
"40","Repair and Renovation","NA-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Development of Government school in Ejipura Ward, BTM layout, Bangalore District","22-Jul-2026","1700000","NA"
"41","Repair and Renovation","NA-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of school building at Bangalore District, BTM layout, Vekatapura ward","22-Jul-2026","1800000","NA"
"42","Normal/Others","WS/MP086/2025-2026/209971-Purchase of smart boards, visual display units and projectors","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of Smart TV for government higher primary school, at ward no.148, ejipura, Bangalore BTM vidhanasabha constituency","18-Jun-2025","498999","16-Dec-2025"
"43","Normal/Others","WS/MP086/2025-2026/209975-Purchase of smart boards, visual display units and projectors","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of smart TV at ward No. 145, Bangalore chikkapete vidhansabha constituency","18-Jun-2025","498999","19-Dec-2025"
"44","Normal/Others","WS/MP086/2025-2026/170927-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of concrete drainage system at H hosahalli village, Hennagara grama panchayat, Anekal Taluk, Jigani Hobali","31-Jan-2025","499595","21-Jun-2025"
"45","Normal/Others","WS/MP086/2025-2026/196052-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore Urban District, Jayanagar Vidhanasabha constituency, JP nagar ward no. 178, near 35 main road, new provision store, 12th main, conrete road","02-May-2025","2500000","20-Dec-2025"
"46","Normal/Others","WS/MP086/2025-2026/196055-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore Urban district, Jayanagar assembly constituency, ward 178, JP Nagar 35th main road, from Sri sai Ram medical to 12th main road, concrete road construction work","02-May-2025","2500000","20-Dec-2025"
"47","Normal/Others","WS/MP086/2025-2026/196057-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore Urban district, Jayanagar assembly constituency, ward 178, JP nagar 6th main road to ganganagar 1st phase concrete road development work","02-May-2025","2000000","20-Dec-2025"
"48","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore Urban District, BTM assembly constituency, Ward 148, 20th main road Srinivas home to home number 481 to lakshman home road development work","02-May-2025","500000","NA"
"49","Normal/Others","WS/MP086/2025-2026/209984-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of roads at srinivagilu main road, ward no.148, Bangalore Urban, BTM assembly constituency","18-Jun-2025","499625","20-Dec-2025"
"50","Normal/Others","WS/MP086/2025-2026/209988-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of road at ward no.178, 35th cross, jayanagar assembly constituency","18-Jun-2025","499352","06-Mar-2026"
"51","Normal/Others","WS/MP086/2025-2026/227456-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road near bangalore urban district, Yalahanka Talluk, Sasuveghatta main road to Chennakeshava home","18-Aug-2025","499063","06-Mar-2026"
