"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"500","Normal/Others","WS/MP138/2025-2026/211087-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall at RDS Degree College Kundabai at Kundabai Ward No 5 GP Kundabai Executing Agency ITDA Kaptipada Udala","21-Jun-2025","28-Jul-2025","500000","Physical Inspection"
"501","Normal/Others","WS/MP138/2025-2026/213751-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Hamata Behera House to Abhi Senapati House in WNO 4 of Udala NAC Mayurbhaj Executing Agency Udala NAC","30-Jun-2025","14-Jul-2025","1000000","Physical Inspection"
"502","Normal/Others","WS/MP138/2025-2026/213752-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC Road from PWD road to Pradeep Parida House via BR Panda House in WNO 06 of Udala NAC Mayurbhaj Executing Agency Udala NAC","30-Jun-2025","14-Jul-2025","1000000","Physical Inspection"
"503","Normal/Others","WS/MP138/2025-2026/213895-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC road from Bhaskar Malik house to Tarapur Matha Sahi","01-Jul-2025","03-Oct-2025","600000","Sanction"
"504","Normal/Others","WS/MP138/2025-2026/213896-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Road from RD road to Rabindra Das house in Tarapur GP Chakroda, Block or Dist-Kendrapara, Ward No.18","01-Jul-2025","25-Aug-2025","200000","Work partially Completed"
"505","Normal/Others","WS/MP138/2025-2026/213897-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Road from Kalyani Das house to Adikanda Das House in Tarapur","01-Jul-2025","03-Oct-2025","600000","Work partially Completed"
"506","Normal/Others","WS/MP138/2026-2027/213899-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Cement concrete road and a drain from Ajaya Mohanty house to Prafulla Mohanty House at Tarapur Mohanty Sahi","01-Jul-2025","18-Jun-2026","350000","Sanction"
"507","Repair and Renovation","WS/MP138/2025-2026/213900-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvment of Betadanda road, ward no.2","01-Jul-2025","16-Jul-2025","500000","Physical Inspection"
"508","Repair and Renovation","WS/MP138/2025-2026/213901-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement of road from RD road to Pitulichia ward no.18","01-Jul-2025","16-Jul-2025","500000","Physical Inspection"
"509","Repair and Renovation","WS/MP138/2025-2026/213902-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement of road from RD road to Sahira Udaya Patra house, ward no.5 and 6","01-Jul-2025","16-Jul-2025","500000","Work Completed"
"510","Repair and Renovation","WS/MP138/2025-2026/213903-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement of road from Kina Sahoo house to Bana Sahoo house in ward no.9","01-Jul-2025","16-Jul-2025","800000","Physical Inspection"
"511","Repair and Renovation","WS/MP138/2025-2026/213904-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement of road from Madhu Mallik house to Bheda road in ward no.15 and 9","01-Jul-2025","16-Jul-2025","700000","Physical Inspection"
"512","Repair and Renovation","WS/MP138/2025-2026/213905-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement of road from Ajay Malik house to Bheda road in ward no.15","01-Jul-2025","16-Jul-2025","500000","Physical Inspection"
"513","Repair and Renovation","WS/MP138/2025-2026/213906-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement of road from Jena Sahi to Sailomunda road in ward no.8 and 9","01-Jul-2025","16-Jul-2025","500000","Physical Inspection"
"514","Normal/Others","WS/MP138/2025-2026/213970-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Nira Behera House to Sasikanta Mallik House Village Kasaba Jaypur GP Block Kasaba Jaypur Bahanaga Executing Agency ITDA Nilgiri","01-Jul-2025","04-Nov-2025","200000","Sanction"
"515","Normal/Others","WS/MP138/2025-2026/213971-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC Road at Teliapada Putty Sahi GP Block DN Pur Oupada Executing Agency BDO Oupada","01-Jul-2025","04-Nov-2025","200000","Work partially Completed"
"516","Normal/Others","WS/MP138/2025-2026/214441-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Chandi Charan Pradhan House to Habal Ch. Basuri House at Jharpokharia GP Jharpokharia Saraskana Block under Baripada ITDA","05-Jul-2025","18-Mar-2026","250000","Sanction"
"517","Repair and Renovation","WS/MP138/2025-2026/214926-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Repairing of Road from Gananath Nayak House to Bijaya Mohanty House at Nudadiha Ward No 8 GP Name Nudadiha Block Kaptipada Executing Agency ITDA Kaptipada Udala","05-Jul-2025","12-Aug-2025","300000","Physical Inspection"
"518","Normal/Others","WS/MP138/2025-2026/214927-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Lada Murmu House to Bino House in Ward no 12 under NAC GP Udala NAC Block Udala NAC Executing Agency ITDA Kaptipada Udala","05-Jul-2025","12-Aug-2025","200000","Physical Inspection"
"519","Normal/Others","WS/MP138/2025-2026/217100-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC road from Manoharpur AWC to Rajesh sethi House, Village-Manoharpur, ward-13, pokharia panchayat Block-Saraskana, Executive Agency-ITDA Baripada","11-Jul-2025","16-Dec-2025","250000","Vendor Identification"
"520","Normal/Others","WS/MP138/2025-2026/217101-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC road, Ghanoshyam kar house to Abani Pradhan house at Ghiajodi, Ward-11, Jharpokharia Panchayat Executive Agency-ITDA Baripada","11-Jul-2025","24-Mar-2026","200000","Sanction"
"521","Normal/Others","WS/MP132/2025-2026/219760-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of CC road from Laxman Sahu house to Ramesh Dalai house.","18-Jul-2025","22-Dec-2025","500000","Work Completed"
"522","Normal/Others","WS/MP132/2025-2026/226313-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of CC road from Lingaraj Pradhan pond to Beleswar temple.","11-Aug-2025","05-Jan-2026","500000","Sanction"
"523","Normal/Others","WS/MP18283/2025-2026/229857-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","Construction of CC road from Chandanpur Embarkment road to Saraswati Sishu Bidya Mandir at Chandapur","28-Aug-2025","30-Mar-2026","500000","Work partially Completed"
"524","Normal/Others","WS/MP132/2025-2026/231417-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of CC road from Gokul Sasmal house back side to Anirudha Mahotwa house back side.","05-Sep-2025","17-Nov-2025","500000","Sanction"
"525","Normal/Others","WS/MP132/2025-2026/231429-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of CC road from Sarala Sanara R and B road to Sani Mandir.","05-Sep-2025","23-Mar-2026","150000","Sanction"
"526","Normal/Others","WS/MP132/2025-2026/231430-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of CC road From Sarodala Taradei Gramadebati to Smasana.","05-Sep-2025","23-Mar-2026","250000","Sanction"
"527","Normal/Others","WS/MP132/2025-2026/231431-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of Sarala Hata internal road.","05-Sep-2025","23-Mar-2026","150000","Sanction"
"528","Normal/Others","WS/MP18283/2025-2026/234266-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","Construction of CC road at Tailasahi, Singhaberhampur Purbabad.","15-Sep-2025","12-Dec-2025","300000","Sanction"
"529","Normal/Others","WS/MP18283/2025-2026/234267-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","Construction of CC road from Gagan Pradhan house to Ujjanipada RD, GP- Bharatipur","15-Sep-2025","18-Feb-2026","300000","Physical Inspection"
"530","Normal/Others","WS/MP18283/2025-2026/234269-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","Construction of CC road from Mohanty Sahi to Melana Padia at Jenapur 1, Delanga","15-Sep-2025","12-Dec-2025","400000","Physical Inspection"
