"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"339","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/185715","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","05-Jun-2025","Hemanta Kumar Behera","Payment Success","500000"
"340","Odisha","Construction of public irrigation facilities","WS/MP138/2025-2026/190463","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Jan-2026","Dipak Kumar Das","Payment Success","500000"
"341","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/190464","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","04-Nov-2025","PRABHAT KUMAR CHOUDHURY","Payment Success","500000"
"342","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/198855","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","12-Feb-2026","RANJIT KUMAR NANDA","Payment Success","300000"
"343","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/198856","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","23-Oct-2025","ANITA RANI GIRI","Payment Success","300000"
"344","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/198857","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","24-Oct-2025","SADANANDA DEY","Payment Success","200000"
"345","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/198858","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-May-2026","ANITA RANI GIRI","Payment Success","200000"
"346","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/198859","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","30-May-2026","SACHINDRA MOHANTA","Payment Success","300000"
"347","Odisha","Street lights","WS/MP138/2025-2026/203351","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"348","Odisha","Street lights","WS/MP138/2025-2026/203352","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
