"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"57","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2025-2026/148161","WARANGAL(District Collector Warangal_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","14-Nov-2025","JINUGU ANIM REDDY","Payment Success","456016"
"58","Telangana","Construction of rooms and halls in school and colleges","WS/MP171/2026-2027/148163","WARANGAL(District Collector Warangal_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","03-Aug-2026","Sai Dhatri Constructions","Payment Success","995984"
"59","Telangana","Construction of community centers and community halls","WS/MP171/2025-2026/148170","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","22-Nov-2025","VARRE LAXMI","Payment Success","994398"
"60","Telangana","Construction of community centers and community halls","WS/MP171/2025-2026/148182","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","19-Jan-2026","JATOTHU VENKANNA","Payment Success","499000"
"61","Telangana","Installation of fixed garden gym equipment","WS/MP171/2024-2025/148185","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","24-Dec-2024","Gundu Suryanarayana","Payment Success","498568"
"62","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP171/2024-2025/148939","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","24-Dec-2024","RASALA YADAIAH","Payment Success","498000"
"63","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP171/2024-2025/148940","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","24-Dec-2024","RASALA YADAIAH","Payment Success","498000"
"64","Telangana","Construction of community centers and community halls","WS/MP171/2024-2025/148942","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","03-Jul-2025","Bommaraboina Ramesh","Payment Success","498000"
"65","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/148943","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","03-Jul-2025","Bommaraboina Ramesh","Payment Success","470523"
"66","Telangana","Construction of community centers and community halls","WS/MP171/2025-2026/148944","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","06-Jan-2026","Lanka Sadiah","Payment Success","447908"
"67","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/150577","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","07-Mar-2025","N RAMAKRISHNA","Payment Success","498386"
"68","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/150578","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","07-Mar-2025","N RAMAKRISHNA","Payment Success","497696"
"69","Telangana","Installation of fixed garden gym equipment","WS/MP171/2026-2027/150603","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","27-Jul-2026","VEMULA KRISHNA","Payment Success","857386"
"70","Telangana","Purchase of hospital equipment","WS/MP171/2024-2025/151337","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","08-Feb-2025","Tejaswi Green Energy Private Limited","Payment Success","1295179"
"71","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2025-2026/169139","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","06-Jun-2025","KUNCHALA RAJU","Payment Success","497749"
"72","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2025-2026/169140","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","06-Jun-2025","KUNCHALA RAJU","Payment Success","497672"
"73","Telangana","Construction of community centers and community halls","WS/MP171/2024-2025/169142","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","27-Sep-2025","PRAGATHI CONSTRUCITONS","Payment Success","498949"
"74","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP171/2026-2027/175998","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","07-Apr-2026","Lanka Sadiah","Payment Success","498998"
