"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"29","Normal/Others","WS/MP195/2023-2024/33311-Construction of public libraries and reading rooms","Uttar Pradesh","Kasganj(DISTRICT MAGISTRATE KASGANJ KANSHIRAMNAGAR_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Civil work of Library Room in School","06-Oct-2023","04-Mar-2024","1000000","Vendor Identification"
"30","Normal/Others","WS/MP196/2023-2024/34144-Construction of public libraries and reading rooms","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Construction of library in Dr. Amebedkar Siksha Samiti, Sarnath, Varanasi","07-Oct-2023","04-Dec-2023","2626752","Physical Inspection"
"31","Normal/Others","WS/MP189/2023-2024/88808-Construction of public libraries and reading rooms","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction work of Library Room in Ch. Mahendra Singh Tikait Kisan Trust, Sisauli, District Muzaffarnagar","25-Jan-2024","14-Mar-2024","650000","Work Completed"
"32","Normal/Others","WS/MP202/2025-2026/135863-Construction of public libraries and reading rooms","Uttar Pradesh","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Sant Madhu Paramhansh Ucchatar Madhyamik Vidhyalay Narsara Baldiray sultanpur Me Pustkalay Kaksh Ke Nirman Hetu","16-Aug-2024","01-Apr-2025","500000","Vendor Identification"
"33","Normal/Others","WS/MP202/2025-2026/135864-Construction of public libraries and reading rooms","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Ram Lakhan Shukla Sarsawati sisu Mandir Hanumat nagar Rafiganj Bhiyav Ambedkar nagar Me Pustkalay Kaksh Ke Nirman Hetu sampark Sutra 9453691926","16-Aug-2024","08-Jul-2025","1000000","Physical Inspection"
"34","Normal/Others","WS/MP196/2024-2025/162126-Construction of public libraries and reading rooms","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Construction of public libraries and reading rooms.","28-Dec-2024","21-Jan-2025","6219000","Vendor Identification"
"35","Repair and Renovation","WS/MP180/2025-2026/197920-Construction of public libraries and reading rooms","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Construction of new building","08-May-2025","19-Sep-2025","2300000","Work partially Completed"
"36","Normal/Others","WS/MP202/2023-2024/57909-Purchase of books for public libraries/ digitization of library books","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","District Name Of Various Development Blocks Under All Jaunpur District","07-Dec-2023","11-Mar-2024","5000000","Physical Inspection"
"37","Repair and Renovation","WS/MP181/2025-2026/133478-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","SHAMLI(DISTRICT MAGISTRATE SHAMLI_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","????? ???????","13-Jul-2024","09-Oct-2025","1430468","Physical Inspection"
"38","Repair and Renovation","WS/MP180/2024-2025/140362-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Construction and redevelopment of boundary wall at crematorium ground","11-Sep-2024","27-Nov-2024","3687074","Physical Inspection"
"39","Normal/Others","WS/MP181/2024-2025/166044-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","Renovation and construction work","16-Jan-2025","01-Mar-2025","3125000","Work partially Completed"
"40","Repair and Renovation","WS/MP180/2025-2026/197919-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Crematoriums or structures on burial cremation ground for public conveyance","08-May-2025","19-Sep-2025","3995000","Work partially Completed"
"41","Normal/Others","WS/MP181/2025-2026/239203-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","Construction of boundary wall and repair in cremation ground as per estimate in serial no. 1.","30-Sep-2025","02-Jan-2026","2361000","Work partially Completed"
"42","Normal/Others","WS/MP180/2026-2027/240858-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Modernization of Shamshan Ghat","13-Oct-2025","30-Jun-2026","600000","Sanction"
"43","Normal/Others","WS/MP195/2023-2024/77943-Construction of night shelters for homeless","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Construction of Night Shelter","08-Jan-2024","07-Mar-2024","999592","Physical Inspection"
"44","Normal/Others","WS/MP186/2023-2024/81746-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of night shelter at public place near Badauna Baba","14-Jan-2024","10-Mar-2024","1994193","Physical Inspection"
