"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"103","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2025-2026/266721","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","23-Feb-2026","Wanglam Konyak","Payment Success","1000000"
"104","Nagaland","Construction of bus-sheds or bus-stops","WS/MP233/2026-2027/280801","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","19-May-2026","Tingyu Konyak","Payment Success","2450000"
"105","Nagaland","Construction of bus-sheds or bus-stops","WS/MP233/2026-2027/280801","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","Tingyu Konyak","Payment Success","1050000"
"106","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2026-2027/280805","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","19-May-2026","Naiwang Konyak","Payment Success","1820000"
"107","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2026-2027/280805","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","Naiwang Konyak","Payment Success","780000"
"108","Nagaland","Tree plantation for community","WS/MP233/2026-2027/280806","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","22-Jun-2026","N Phamlih Friday","Payment Success","2220000"
"109","Nagaland","Tree plantation for community","WS/MP233/2026-2027/280806","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Aug-2026","N Phamlih Friday","Payment Success","780000"
"110","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP233/2026-2027/281628","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","24-Jun-2026","MERITHUNG LOTHA","Payment Success","2984800"
"111","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP233/2026-2027/281628","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","30-Jul-2026","MERITHUNG LOTHA","Payment Success","1279200"
"112","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP233/2026-2027/281641","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","24-Jun-2026","M DANIEL LOTHA","Payment Success","3276000"
"113","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP233/2026-2027/281641","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","30-Jul-2026","M DANIEL LOTHA","Payment Success","1404000"
"114","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP233/2026-2027/281649","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","24-Jun-2026","MHONYANI EZUNG","Payment Success","3276000"
"115","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP233/2026-2027/281649","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","30-Jul-2026","MHONYANI EZUNG","Payment Success","1404000"
"116","Nagaland","Construction of water tanks","WS/MP233/2026-2027/285801","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","Jacob S Konyak","Payment Success","187200"
"117","Nagaland","Construction of buildings for community cultural activities","WS/MP233/2026-2027/285812","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","N Khongwang Konyak","Payment Success","1800000"
"118","Nagaland","Construction of common work sheds/ common covered sitting area","WS/MP233/2026-2027/285822","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","01-Aug-2026","Zuben Ezung","Payment Success","500000"
"119","Nagaland","Construction of common work sheds/ common covered sitting area","WS/MP233/2026-2027/285822","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","19-Aug-2026","Zuben Ezung","Payment Success","200000"
"120","Nagaland","Construction of buildings for community cultural activities","WS/MP233/2026-2027/285838","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","YAPHO KONYAK","Payment Success","3000000"
"121","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2026-2027/286110","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","15-Jul-2026","K Pulei Konyak and Merenla K","Payment Success","312000"
"122","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2026-2027/286110","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","31-Aug-2026","K Pulei Konyak and Merenla K","Payment In-Progress","208000"
"123","Nagaland","Tree plantation for community","WS/MP233/2026-2027/286222","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Phowang","Payment Success","320000"
"124","Nagaland","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP233/2026-2027/297499","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","26-Jul-2026","Pangom Konyak","Payment Success","9500000"
"125","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP233/2026-2027/302520","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","28-Aug-2026","Lochumlo R Tungoe","Payment In-Progress","312000"
"Grand Total"," "," "," "," "," "," "," "," "," ","19,66,26,200"
