work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work
Normal/Others,WS/MP053/2026-2027/275281,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from police post Patna university gate towards SESQUICENTENNIAL gate,2026-03-21,1495000.0,2026-04-10,1495000.0,Work Completed,1.0,1494426.0,1494426.0,1494426.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-11,1494426.0,0.9996160535117057,0.0,20.0,0.0,31.0,1
Normal/Others,WS/MP053/2026-2027/275362,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from Patna College SESQUICENTENNIAL gate towards backside of Faraday Hostel,2026-03-23,1498000.0,2026-04-10,1498000.0,Work Completed,1.0,1497237.0,1497237.0,1497237.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-09,1497237.0,0.9994906542056075,0.0,18.0,0.0,29.0,1
Normal/Others,WS/MP053/2026-2027/275363,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from Patna University Gate to the backside of Faraday Hostel,2026-03-23,1496000.0,2026-04-10,1496000.0,Work Completed,1.0,1495467.0,1495467.0,1495467.0,2026-05-11,2026-05-11,ASSISTANT ENGINEER BANKIPUR,True,2026-05-09,1495467.0,0.9996437165775401,0.0,18.0,0.0,29.0,1
Normal/Others,WS/MP053/2025-2026/191075,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road with drainage system from the house of Birju jee to  Triveni Nivas in Buddhjivi colony.,2025-04-13,1482800.0,2025-05-16,1482800.0,Physical Inspection,1.0,1482800.0,1482800.0,1482800.0,2025-06-25,2025-06-25,ASSISTANT ENGINEER BANKIPUR,True,2025-06-25,1482800.0,1.0,0.0,33.0,0.0,40.0,1
Normal/Others,WS/MP053/2025-2026/191076,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Vimla Kumari to the house of Arun Ojha jee in Laxminagar East.,2025-04-13,1480034.0,2025-05-16,1480034.0,Physical Inspection,1.0,1480034.0,1480034.0,1480034.0,2025-07-11,2025-07-11,ASSISTANT ENGINEER FATUHA,True,2025-07-10,1480034.0,1.0,0.0,33.0,0.0,55.0,1
Normal/Others,WS/MP053/2025-2026/191077,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Kamlesh Kumar to the house of Shailesh Mistri  in Laxminagar East.,2025-04-13,494823.0,2025-05-16,494823.0,Physical Inspection,1.0,494823.0,494823.0,494823.0,2025-07-11,2025-07-11,ASSISTANT ENGINEER FATUHA,True,2025-07-10,494823.0,1.0,0.0,33.0,0.0,55.0,1
Normal/Others,WS/MP053/2025-2026/196422,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Ram jee towards gas godownin Lakshminagar,2025-05-03,1283915.0,2025-05-19,1283915.0,Physical Inspection,1.0,1283915.0,1283915.0,1283915.0,2025-08-01,2025-08-01,ASSISTANT ENGINEER FATUHA,True,2025-08-01,1283915.0,1.0,0.0,16.0,0.0,74.0,1
Normal/Others,WS/MP053/2025-2026/196423,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of PN singh towards SDM Road in lakshminagar,2025-05-03,1285029.0,2025-05-19,1285029.0,Physical Inspection,1.0,1285029.0,1285029.0,1285029.0,2025-08-01,2025-08-01,ASSISTANT ENGINEER FATUHA,True,2025-08-01,1285029.0,1.0,0.0,16.0,0.0,74.0,1
Normal/Others,WS/MP053/2025-2026/196424,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Rajnish kumar to the house of Manoj Kumar,2025-05-03,1480179.0,2025-05-19,1480179.0,Physical Inspection,1.0,1480179.0,1480179.0,1480179.0,2025-06-29,2025-06-29,ASSISTANT ENGINEER FATUHA,True,2025-06-29,1480179.0,1.0,0.0,16.0,0.0,41.0,1
Normal/Others,WS/MP053/2025-2026/196425,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the boundary of Awadh singh to the house of Ravishankar Kumar in ward no.1 village -Chainpur,2025-05-03,1480440.0,2025-05-19,1480440.0,Physical Inspection,1.0,1480440.0,1480440.0,1480440.0,2025-06-29,2025-06-29,ASSISTANT ENGINEER FATUHA,True,2025-06-29,1480440.0,1.0,0.0,16.0,0.0,41.0,1
