work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work
Normal/Others,WS/MP084/2024-2025/38105,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.",2023-10-18,499200.0,2024-06-29,499200.0,Physical Inspection,1.0,499200.0,499200.0,499200.0,2024-07-22,2024-07-22,LAKSHMIKANTH B T,False,2024-07-04,499200.0,1.0,0.0,255.0,0.0,5.0,1
Normal/Others,WS/MP084/2024-2025/38106,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road work, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.",2023-10-18,498200.0,2024-06-29,498200.0,Physical Inspection,1.0,498200.0,498200.0,498200.0,2024-07-04,2024-07-04,LAKSHMIKANTH B T,False,2024-07-04,498200.0,1.0,0.0,255.0,0.0,5.0,1
Normal/Others,WS/MP084/2024-2025/38107,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban",2023-10-18,498227.0,2024-06-29,498227.0,Physical Inspection,1.0,498227.0,498227.0,498227.0,2024-07-04,2024-07-04,LAKSHMIKANTH B T,False,2024-07-04,498227.0,1.0,0.0,255.0,0.0,5.0,1
Normal/Others,WS/MP084/2024-2025/38396,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road Development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.",2023-10-18,499400.0,2024-07-02,499400.0,Physical Inspection,1.0,499400.0,499400.0,499400.0,2024-11-22,2024-11-22,Tejas Bn,False,2024-11-22,499400.0,1.0,0.0,258.0,0.0,143.0,1
Normal/Others,WS/MP084/2024-2025/38397,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.",2023-10-18,499300.0,2024-07-02,499300.0,Physical Inspection,1.0,499300.0,499300.0,499300.0,2024-11-22,2024-11-22,Tejas Bn,False,2024-11-22,499300.0,1.0,0.0,258.0,0.0,143.0,1
Normal/Others,WS/MP084/2024-2025/38398,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road development work, Machohali Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban",2023-10-18,499000.0,2024-07-02,499000.0,Physical Inspection,1.0,499000.0,499000.0,499000.0,2024-07-11,2024-07-11,DIVYA P,False,2024-07-11,499000.0,1.0,0.0,258.0,0.0,9.0,1
Normal/Others,WS/MP084/2024-2025/38399,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.",2023-10-18,499000.0,2024-07-02,499000.0,Physical Inspection,1.0,499000.0,499000.0,499000.0,2024-07-11,2024-07-11,DIVYA P,False,2024-07-11,499000.0,1.0,0.0,258.0,0.0,9.0,1
Normal/Others,WS/MP084/2024-2025/38400,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.",2023-10-18,499200.0,2024-07-02,499200.0,Physical Inspection,1.0,499200.0,499200.0,499200.0,2025-01-03,2025-01-03,MANJAMMA M,False,2025-01-03,499200.0,1.0,0.0,258.0,0.0,185.0,1
Normal/Others,WS/MP084/2024-2025/38413,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.",2023-10-18,499210.0,2024-09-24,499210.0,Physical Inspection,1.0,499210.0,499210.0,499210.0,2024-10-21,2024-10-21,JAGANNATH,False,2024-10-21,499210.0,1.0,0.0,342.0,0.0,27.0,1
Normal/Others,WS/MP084/2024-2025/39207,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Concrete road development work, Lakkuppe Village, Channenahalli Grama Panchayat, Bangalore South Taluk, Bangalore Urban.",2023-10-20,500000.0,2024-07-05,500000.0,Work partially Completed,1.0,499847.0,499847.0,499847.0,2024-07-10,2024-07-10,Tejas Bn,,,,0.999694,0.0,259.0,0.0,,1
