"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"27","Normal/Others","WS/MP204/2025-2026/254634-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a hall for people to sit in during funeral processions at Nirwan Ashram (Registred), Malviya Chowk, Roorkee, Haridwar","19-Dec-2025","25-Feb-2026","1000000","Sanction"
"28","Normal/Others","WS/MP204/2025-2026/254636-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Cinstruction of the Toilet near the old Canal, across the road from the cremation ground, in Village Mehwarkhurd, Post Mehwarkalan, block Roorkee, Haridwar","19-Dec-2025","25-Feb-2026","30000","Sanction"
"29","Normal/Others","WS/MP204/2025-2026/254637-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Roof at the Cremation Ground in Village Mehwarkhurd urf Nagal, Post Mehwarkalan, Block Roorkee, Haridwar","19-Dec-2025","25-Feb-2026","1000000","Sanction"
"30","Normal/Others","WS/MP204/2025-2026/254638-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Roof at the Cremation Ground in Village Mehwarkalan, Block Roorkee, Haridwar","19-Dec-2025","25-Feb-2026","1000000","Sanction"
"31","Normal/Others","WS/MP204/2025-2026/254827-Construction of community centers and community halls","Uttarakhand","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Public Toilet in the Scheduled Caste Settlement of Bangora Gram Panchayat, Block Tarikhet, District Almora","19-Dec-2025","10-Feb-2026","50000","Sanction"
"32","Normal/Others","WS/MP204/2025-2026/254828-Construction of community centers and community halls","Uttarakhand","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a Public Toilet in the Scheduled Caste Settlement of  Gram panchayat Baina-Pratham, block Tarikhet, district Almora","19-Dec-2025","10-Feb-2026","50000","Sanction"
"33","Normal/Others","WS/MP18333/2025-2026/254876-Construction of community centers and community halls","Uttarakhand","Rudraprayag(DM Rudraprayag_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Dist Rudraprayag me vikash khand Jakholi ke gram panchayat ghegar ke kholi tok me milan kendra ka nirman, K.S.- Gram panchayat Ghegar","20-Dec-2025","19-Feb-2026","500000","Sanction"
"34","Normal/Others","WS/MP204/2026-2027/261236-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a roof at the cremation ground in Chaulli Village, Gram Panchayat Mandawar, Block Bhagwanpur, Haridwar","24-Jan-2026","14-Aug-2026","1000000","Sanction"
"35","Normal/Others","WS/MP204/2026-2027/275875-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a Hall at Nirvan Ashram, Malviya Chowk, Railway Road, Roorkee. (To complete previously assigned work)","26-Mar-2026","15-May-2026","1000000","Sanction"
"36","Normal/Others","WS/MP204/2026-2027/275877-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of warehouse for storing cremation wood at Nirvan Ashram, Malviya Chowk, Railway Road, Roorkee, District Haridwar","26-Mar-2026","15-May-2026","1000000","Sanction"
