"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"524","Normal/Others","WS/MP18295/2024-2025/148617-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of a Boundary Wall and filling of soil work at Rajkiya Kanya Mahavidyalaya, Gram Panchayat Hetamsar","19-Oct-2024","31-Jan-2025","1500000","Work partially Completed"
"525","Normal/Others","WS/MP147/2024-2025/149056-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of interlocking Kharanja drain from Pratap's house towards Hargobind Master's house in village Dhamari.","22-Oct-2024","02-Jan-2025","500000","Work Completed"
"526","Normal/Others","WS/MP147/2024-2025/149057-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of interlocking Kharanja drain from Vinod Harijan's house towards Naththan's room in village Dhamari.","22-Oct-2024","02-Jan-2025","500000","Work Completed"
"527","Normal/Others","WS/MP147/2024-2025/149058-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of interlocking Kharanja drain from Pratap's house towards Sukhveer's house in village Kurwara.","22-Oct-2024","20-Dec-2024","1500000","Vendor Identification"
"528","Normal/Others","WS/MP145/2024-2025/149164-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","CONSTRUCTION OF CC BLOCK ROAD FROM GINDAD CHOWK TO SHASTRI SCHOOL, GRAM PANCHAYAT DAULATPURA, PS PIPRALI","23-Oct-2024","04-Jan-2025","993664","Physical Inspection"
"529","Normal/Others","WS/MP145/2024-2025/149165-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","CC BLOCK ROAD DEVELOPMENT WORK FROM RATAN MALI'S HOUSE TO GOVT PRIMARY SCHOOL MAHANTO KI KOTHI, REWASA","23-Oct-2024","13-Dec-2024","1499362","Physical Inspection"
"530","Normal/Others","WS/MP145/2024-2025/149166-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","CONSTRUCTION OF CC BLOCK ROAD WORK FROM GOVT PRIMARY SCHOOL TO MAHANTO KI KOTHI, REWASA","23-Oct-2024","13-Dec-2024","999373","Physical Inspection"
"531","Normal/Others","WS/MP145/2024-2025/149173-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","Road Development work from Raghunathpura Road to Khood Mandota, Gram Panchyat Mandota, Panchayat Samiti Dhod","23-Oct-2024","18-Jan-2025","997949","Physical Inspection"
"532","Normal/Others","WS/MP147/2024-2025/152606-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of drain along CC road from Radha Kishan towards Arban's house in village Baudoli Dahar.","14-Nov-2024","14-Jan-2025","500000","Work Completed"
"533","Normal/Others","WS/MP147/2024-2025/152607-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of drain along CC road from Asu's room to Sahabdin's room in village Ghoseenga.","14-Nov-2024","20-Jan-2025","498855","Physical Inspection"
