"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"118","Normal/Others","WS/MP235/2026-2027/277165-Construction of bus-sheds or bus-stops","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Bus Stand at Village Kari Kalan","01-Apr-2026","09-Apr-2026","500000","Work partially Completed"
"119","Normal/Others","WS/MP235/2026-2027/277176-Construction of bus-sheds or bus-stops","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Bus Stand at Village Mallu Wala Bandia","01-Apr-2026","09-Apr-2026","500000","Work partially Completed"
"120","Normal/Others","WS/MP235/2026-2027/286141-Construction of bus-sheds or bus-stops","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Bus Stand at Village Chak Ghubai Urf Taran Wali","16-Jun-2026","19-Jun-2026","500000","Work partially Completed"
"121","Normal/Others","WS/MP235/2026-2027/301960-Construction of bus-sheds or bus-stops","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Bus Stand at Village Machhiwara 104","07-Aug-2026","19-Aug-2026","300000","Sanction"
"122","Normal/Others","WS/MP235/2025-2026/205908-Providing CCTV camera system for security of public areas","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Installation of CCTV cameras in urban towns of Ferozepur District with CCTV Camera Go-Live Project (BSNL)","02-Jun-2025","03-Jun-2025","19523289","Physical Inspection"
"123","Repair and Renovation","WS/MP140/2023-2024/15148-Construction of rooms and halls in school and colleges","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding Boundary Wall Surrounding Govt. Sen. Sec. School, Raipur (Pharala)","02-Sep-2023","26-Sep-2023","250000","Physical Inspection"
"124","Repair and Renovation","WS/MP140/2023-2024/21975-Construction of rooms and halls in school and colleges","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Construction for Hall in School.","17-Sep-2023","25-Oct-2023","500000","Work partially Completed"
"125","Normal/Others","WS/MP140/2024-2025/135348-Construction of rooms and halls in school and colleges","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Construction of Rooms in Gov.Sen.Sec.School, Lakhan Kallan.","10-Aug-2024","09-Sep-2024","1100000","Vendor Identification"
"126","Normal/Others","WS/MP141/2024-2025/135888-Construction of rooms and halls in school and colleges","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Construction of interlock tiles in govt primary school vallah","16-Aug-2024","13-Sep-2024","1000000","Work partially Completed"
"127","Normal/Others","WS/MP141/2024-2025/135890-Construction of rooms and halls in school and colleges","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Construction of rooms and bathrooms govt primary school rasulpur kallar","16-Aug-2024","13-Sep-2024","1000000","Work partially Completed"
"128","Normal/Others","WS/MP141/2024-2025/135893-Construction of rooms and halls in school and colleges","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Construction of rooms  in govt elementary school verka","16-Aug-2024","13-Sep-2024","500000","Physical Inspection"
