"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1586","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Sumit Trading Company","Payment Success","70200"
"1587","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Nandha and Co","Payment Success","107520"
"1588","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Nandha and Co","Payment Success","107520"
"1589","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Banarsi Dass and Sons","Payment Success","48278"
"1590","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-May-2026","Raju","Payment Success","65780"
"1591","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Jun-2026","Raju","Payment Success","72158"
"1592","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","Raju","Payment Success","43240"
"1593","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","Krishna Traders","Payment Success","12628"
"1594","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","Ajay Iron and Sanitary Store","Payment Success","20700"
"1595","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Sumit Trading Company","Payment Success","35100"
