"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"29","Normal/Others","WS/MP053/2025-2026/191076-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Vimla Kumari to the house of Arun Ojha jee in Laxminagar East.","13-Apr-2025","1480034","16-May-2025"
"30","Normal/Others","WS/MP053/2025-2026/191077-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Kamlesh Kumar to the house of Shailesh Mistri  in Laxminagar East.","13-Apr-2025","494823","16-May-2025"
"31","Normal/Others","WS/MP053/2025-2026/196422-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Ram jee towards gas godownin Lakshminagar","03-May-2025","1283915","19-May-2025"
"32","Normal/Others","WS/MP053/2025-2026/196423-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of PN singh towards SDM Road in lakshminagar","03-May-2025","1285029","19-May-2025"
"33","Normal/Others","WS/MP053/2025-2026/196424-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Rajnish kumar to the house of Manoj Kumar","03-May-2025","1480179","19-May-2025"
"34","Normal/Others","WS/MP053/2025-2026/196425-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the boundary of Awadh singh to the house of Ravishankar Kumar in ward no.1 village -Chainpur","03-May-2025","1480440","19-May-2025"
"35","Normal/Others","WS/MP053/2025-2026/196426-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the cement factory to towards the house of Nirmala Devi.","03-May-2025","1385841","19-May-2025"
"36","Normal/Others","WS/MP053/2025-2026/196445-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the farm house of Vijay Sarpanch jee to the boundary of Bishop School","03-May-2025","1480080","19-May-2025"
"37","Normal/Others","WS/MP053/2025-2026/196446-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the plot of Brajesh kumar to the house of biren singh in ward no. 01","03-May-2025","1336700","19-May-2025"
"38","Normal/Others","WS/MP053/2025-2026/196447-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from primary school to the boundary wall of sudama singh in ward no.14 Rampur","03-May-2025","1277400","19-May-2025"
