"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"242","Uttarakhand","Construction of buildings for community cultural activities","WS/MP850/2023-2024/107469","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","19-Sep-2024","KHAND VIKASH ADHIKARI","Payment Success","11779"
"243","Uttarakhand","Construction of buildings for community cultural activities","WS/MP850/2023-2024/107469","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","19-Sep-2024","prashant kumar bisht","Payment Success","238221"
"244","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/118046","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","08-Oct-2024","Manju Choudhary","Payment Success","993514"
"245","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/118047","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","27-Apr-2026","Manju Choudhary","Payment Success","257060"
"246","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/118048","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","09-May-2025","Arsad","Payment Success","570847"
"247","Uttarakhand","Improvement of electricity distribution infrastructure","WS/MP850/2024-2025/121329","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-Aug-2024","BRANCH EARMARKED CAPITAL RECEIPT AC","Payment Success","45266"
"248","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/133314","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","20-Feb-2025","GURU KRIPA ASSOCIATES","Payment Success","1049108"
"249","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/133314","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","GURU KRIPA ASSOCIATES","Payment Success","449617"
"250","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/133315","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","20-Feb-2025","GURU KRIPA ASSOCIATES","Payment Success","699442"
"251","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/133315","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","GURU KRIPA ASSOCIATES","Payment Success","299761"
"252","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/134498","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","20-Feb-2025","CHANDRA SINGH RAWAT","Payment Success","555508"
"253","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/134498","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","CHANDRA SINGH RAWAT","Payment Success","238075"
"254","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/134499","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","17-Feb-2025","CHANDRA SINGH RAWAT","Payment Success","488246"
"255","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/134499","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","CHANDRA SINGH RAWAT","Payment Success","209249"
"256","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/134855","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","30-Jan-2025","CHANDRA SINGH RAWAT","Payment Success","700000"
"257","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/134855","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","CHANDRA SINGH RAWAT","Payment Success","294945"
"258","Uttarakhand","Construction of public irrigation facilities","WS/MP850/2024-2025/136209","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","15-Jan-2025","KHUSHAL SINGH POKHRIYAL","Payment Success","982785"
"259","Uttarakhand","Construction of public irrigation facilities","WS/MP850/2024-2025/136209","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","04-Oct-2025","KHUSHAL SINGH POKHRIYAL","Payment Success","205280"
"260","Uttarakhand","Construction of public irrigation facilities","WS/MP850/2024-2025/136210","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","15-Jan-2025","KHUSHAL SINGH POKHRIYAL","Payment Success","1133860"
"261","Uttarakhand","Construction of public irrigation facilities","WS/MP850/2024-2025/136210","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","04-Oct-2025","KHUSHAL SINGH POKHRIYAL","Payment Success","353478"
"262","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/136211","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Mar-2025","ARUN KUMAR","Payment Success","992103"
"263","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP850/2024-2025/136212","CHAMOLI(DM Chamoli_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","19-Jun-2025","Pritam Singh","Payment Success","269972"
"264","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP850/2024-2025/136212","CHAMOLI(DM Chamoli_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","15-Nov-2025","Pritam Singh","Payment Success","224801"
"265","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP850/2024-2025/136784","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","23-Feb-2026","Manju Choudhary","Payment Success","1982659"
"266","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/136795","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","23-Feb-2026","Manju Choudhary","Payment Success","969404"
"267","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","DESHRAJ","Payment Success","10902"
"268","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","SANDEEP","Payment Success","10902"
"269","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","VIKASH SINGH","Payment Success","10902"
"270","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","SUBHAM LAL","Payment Success","10902"
"271","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","SONAM","Payment Success","10902"
"272","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","RAMESH SINGH","Payment Success","10665"
"273","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","HARISH JOSHI","Payment Success","10665"
"274","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","GOKULI","Payment Success","10665"
"275","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","Rajendra Singh","Payment Success","10902"
"276","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","HARISH SINGH","Payment Success","10902"
"277","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","PUSHPENDRA SINGH","Payment Success","10665"
"278","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","VARSHA","Payment Success","10665"
"279","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","ANUSHUYA DEVI","Payment Success","10665"
"280","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","PRAMOD SINGH","Payment Success","10665"
"281","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-Feb-2026","SOBAT SINGH","Payment Success","10665"
"282","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","03-Apr-2026","PANT ARTS","Payment Success","500"
"283","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","03-Apr-2026","MULAYAM SINGH","Payment Success","18375"
"284","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","03-Apr-2026","BUDDI SINGH","Payment Success","18375"
