"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"38","Normal/Others","WS/MP850/2026-2027/298626-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","ward no.-6 ke karnal enclave mein babita ke makan se suman ke makan tak interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","25-Jul-2026","853000","14-Aug-2026"
"39","Normal/Others","WS/MP850/2026-2027/298627-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","nagar panchayat imlikhera mein main road se bijendra ke makan ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","25-Jul-2026","232000","14-Aug-2026"
"40","Normal/Others","WS/MP850/2026-2027/298628-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram maheshri mein anusuchit basti mein prathmik vidyalya se sanjay ke makan ki aur hote hue satish ke makan ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","25-Jul-2026","1602000","14-Aug-2026"
"41","Normal/Others","WS/MP850/2026-2027/298629-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram akbarpur jojha mein main road se pahal singh ke makan ki aur v main road se bhure ke makan ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","25-Jul-2026","1037000","14-Aug-2026"
"42","Normal/Others","WS/MP850/2026-2027/298630-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","sansad adarsh gram ibrahimpur masih ke anusuchit jati basti mein main road se mange ram ke ghar ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","25-Jul-2026","447000","14-Aug-2026"
"43","Normal/Others","WS/MP850/2026-2027/298632-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram sikhraudha mein main road se saroj ke makan ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","25-Jul-2026","1104000","14-Aug-2026"
"44","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a CC road from Rukwan's field towards Shri Yogesh Tyagi's field in Gram Panchayat Khajuri, Post Manakpur Adampur (Block Bhagwanpur).","05-Aug-2026","500000","NA"
"45","Normal/Others","WS/MP204/2025-2026/196874-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Road construction by interlocking tiles from the house of Shri Pawan Kumar towards Panchayat house in Village Habibpur Niwada, Block Bhagwanpur","05-May-2025","1000000","04-Oct-2025"
"46","Normal/Others","WS/MP204/2025-2026/196847-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Road construction by interlocking tiles from the house of Shri Vikas Kumar to the house of Shri Sanjay Kumar in village Akbarpur Kalson, Block Bhagwanpur","05-May-2025","600000","04-Oct-2025"
"47","Normal/Others","WS/MP204/2025-2026/184077-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of interlocking tiles road from the house of Shri Rakesh to the house of Shri Prakash Chandra in the Scheduled Caste dominated village Ganja Mazra, Gram Panchayat Khedi Shikohpur, Block Bhagwanpur.","20-Mar-2025","600000","08-May-2025"
