"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1739","Normal/Others","WS/MP198/2023-2024/3559-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???????? ???? ?? ?????? ???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1740","Normal/Others","WS/MP198/2023-2024/3558-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","?????? ???? ?? ?????? ???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1741","Normal/Others","WS/MP198/2023-2024/3561-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???????? ?? ?????? ???????? ????? ?? ???","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1742","Normal/Others","WS/MP198/2023-2024/3565-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????????? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1743","Normal/Others","WS/MP198/2023-2024/3564-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???????? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1744","Normal/Others","WS/MP198/2023-2024/3563-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??????? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1745","Normal/Others","WS/MP198/2023-2024/3562-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","???????? ??? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1746","Normal/Others","WS/MP198/2023-2024/3574-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","?????? ???? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1747","Normal/Others","WS/MP198/2023-2024/3573-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1748","Normal/Others","WS/MP198/2023-2024/3572-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","?????? ???? ?? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1749","Normal/Others","WS/MP198/2023-2024/7872-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","NEAA NAGLA BLOCK BILSANDA ME LALIT BHARTI S/O SHRI RAM VEER PARWANA DWARA SEMI HIGH MAST LIGHT","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1750","Normal/Others","WS/MP198/2023-2024/7919-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ????? ???????? ?????? ??????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
