"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"772","Normal/Others","WS/MP18304/2025-2026/202998-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pucca path harijan basti chapri","24-May-2025","150000","18-Jul-2025"
"773","Normal/Others","WS/MP18304/2025-2026/203124-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of link road protection work vill dhanei","24-May-2025","200000","19-Jun-2025"
"774","Normal/Others","WS/MP18304/2025-2026/203125-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Concrete Road with protection work dara to sachui","24-May-2025","200000","18-Aug-2025"
"775","Normal/Others","WS/MP18304/2025-2026/203138-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Protection work (Breast wall) Nautod to kothi","24-May-2025","200000","11-Aug-2025"
"776","Normal/Others","WS/MP18304/2025-2026/195740-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Road and Pathway From gaglethi to chhoti","01-May-2025","200000","19-Jun-2025"
"777","Normal/Others","WS/MP18304/2025-2026/192502-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca path From Vill. Muklaili to Gov. Primary school","19-Apr-2025","100000","02-May-2025"
"778","Normal/Others","WS/MP18304/2025-2026/213782-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pucca path Banasti to kupagada","01-Jul-2025","150000","09-Oct-2025"
"779","Normal/Others","WS/MP18304/2025-2026/213783-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pucca path Prachha","01-Jul-2025","150000","04-Oct-2025"
"780","Normal/Others","WS/MP18304/2025-2026/213788-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca path Chambi to GPS Parel","01-Jul-2025","100000","16-Sep-2025"
"781","Normal/Others","WS/MP18304/2025-2026/213793-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca path in Chuwari","01-Jul-2025","100000","04-Oct-2025"
"782","Normal/Others","WS/MP18304/2025-2026/213797-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of inter lacking main road to sirkund to kishan home","01-Jul-2025","100000","23-Oct-2025"
"783","Normal/Others","WS/MP18304/2025-2026/213798-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of inter lacking Haripur to bhadram","01-Jul-2025","100000","23-Oct-2025"
"784","Normal/Others","WS/MP18304/2025-2026/213799-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pucca path Brijla mata mandir Bhalka","01-Jul-2025","100000","20-Sep-2025"
"785","Normal/Others","WS/MP18304/2025-2026/213800-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","pucca path from Sanjiv Kumar  to Kholi","01-Jul-2025","100000","11-Aug-2025"
