"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"27","Normal/Others","WS/MP18382/2025-2026/229475-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","18-Dec-2025","543815"
"28","Normal/Others","WS/MP18382/2025-2026/229485-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","07-Jan-2026","544197"
"29","Normal/Others","WS/MP18382/2025-2026/229484-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","07-Jan-2026","544197"
"30","Normal/Others","WS/MP18382/2025-2026/229472-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 16 nos.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","02-Feb-2026","544192"
"31","Normal/Others","WS/MP18382/2025-2026/229473-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","02-Feb-2026","544192"
"32","Normal/Others","WS/MP18382/2025-2026/229474-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 16 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","02-Feb-2026","544192"
"33","Normal/Others","WS/MP18382/2025-2026/254271-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street light 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","10-Mar-2026","680240"
"34","Normal/Others","WS/MP18382/2025-2026/254275-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","21-Mar-2026","680236"
"35","Normal/Others","WS/MP18382/2025-2026/254276-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","21-Mar-2026","680236"
"36","Normal/Others","WS/MP18382/2025-2026/254277-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","21-Mar-2026","680236"
"37","Normal/Others","WS/MP18382/2025-2026/254278-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","21-Mar-2026","680236"
"38","Normal/Others","WS/MP18382/2025-2026/254279-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","21-Mar-2026","680236"
"39","Normal/Others","WS/MP18382/2025-2026/254268-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","02-Apr-2026","680007"
"40","Normal/Others","WS/MP18382/2025-2026/255904-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","08-Apr-2026","680245"
"41","Normal/Others","WS/MP18382/2025-2026/255903-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","08-Apr-2026","680245"
"42","Normal/Others","WS/MP18382/2025-2026/255902-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","09-Apr-2026","680245"
"43","Normal/Others","WS/MP18382/2025-2026/254270-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","11-May-2026","680007"
