"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"622","Normal/Others","WS/MP840/2026-2027/287254-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Laying of CC road from Siddappa house to Chitamma house in panchadevpad","19-Jun-2026","24-Aug-2026","400000","Sanction"
"623","Normal/Others","WS/MP840/2026-2027/287255-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Laying of CC road from ramulu house to polamma temple in panchadevpad","19-Jun-2026","24-Aug-2026","400000","Sanction"
"624","Normal/Others","WS/MP840/2026-2027/287259-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Laying of cc road from R and B road to ramulu house  in panchadevpad","19-Jun-2026","24-Aug-2026","500000","Sanction"
"625","Normal/Others","WS/MP840/2025-2026/257646-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Community CC Road from Peruru Rambabu house to peruru Venkata Satyanarayana house","06-Jan-2026","19-Feb-2026","500000","Physical Inspection"
"626","Normal/Others","WS/MP840/2025-2026/257647-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Community CC Road from Peruru Venkata satyanarayana house to Indupalli Veera Venkata satayanarayana house","06-Jan-2026","19-Feb-2026","500000","Physical Inspection"
"627","Normal/Others","WS/MP840/2025-2026/257648-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Community CC road from Indupalli Veera Venkata Satyanarayana house to Peruru Rambabu field","06-Jan-2026","19-Feb-2026","500000","Physical Inspection"
"628","Normal/Others","WS/MP840/2025-2026/257649-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction Community CC Road from Peruru Rambabu field to Pasupuleti Maha Laxmi Rao house","06-Jan-2026","16-Mar-2026","500000","Physical Inspection"
"629","Normal/Others","WS/MP840/2025-2026/257650-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Community CC road from Pasupuleti Maha Laxmi rao house to Mamidisetti Nagaraju field","06-Jan-2026","19-Feb-2026","500000","Physical Inspection"
"630","Normal/Others","WS/MP840/2025-2026/273557-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of CC Drain with cover slabs from saagi Chiranjeevi raju site to saagi satyaaaryaraju varma H","11-Mar-2026","16-Mar-2026","360000","Physical Inspection"
"631","Normal/Others","WS/MP840/2025-2026/273564-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction CC Drain with cover slabs with culvert from Datla satyanarayanamma  H to saagi lakshminarasimharaju site","11-Mar-2026","16-Mar-2026","340000","Physical Inspection"
