"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"322","Normal/Others","WS/MP100/2025-2026/158027-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of  Ambittampotti – Mahilasamajam Puzha Road","11-Dec-2024","15-Jan-2026","500000","Sanction"
"323","Normal/Others","WS/MP100/2025-2026/158028-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Kattakuthipady  Kurisumala Road","11-Dec-2024","10-Sep-2025","632761","Physical Inspection"
"324","Normal/Others","WS/MP100/2025-2026/158029-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Vakkethara – Chettikkary Colony Road (Cat: SC)","11-Dec-2024","22-May-2025","1000000","Sanction"
"325","Normal/Others","WS/MP100/2025-2026/158032-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Ettathottu – Maliyekkal – Anikkuzhy – Thannippara Road","11-Dec-2024","06-May-2025","379189","Physical Inspection"
"326","Normal/Others","WS/MP100/2025-2026/158033-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Karimattom – Muzhuvanalkunnu – Jalanidhi Road","11-Dec-2024","05-May-2025","383141","Physical Inspection"
"327","Normal/Others","WS/MP100/2025-2026/158036-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Ponnamvarikkayil- Uppamthadam Road","11-Dec-2024","09-Apr-2025","500000","Sanction"
"328","Normal/Others","WS/MP100/2025-2026/158037-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Kaniyamparambu – Puthethuparambu Road","11-Dec-2024","25-Feb-2026","400000","Sanction"
"329","Normal/Others","WS/MP100/2025-2026/158044-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Vattincha – Podimattom Road","11-Dec-2024","09-Apr-2025","500000","Physical Inspection"
"330","Normal/Others","WS/MP100/2025-2026/158045-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of balance portion of Pathikkal – Keecheripady - Govt L P School – Manal Road","11-Dec-2024","06-May-2025","171841","Physical Inspection"
"331","Normal/Others","WS/MP100/2025-2026/158046-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Koladypady – Athipuzha Road","11-Dec-2024","07-May-2025","200000","Sanction"
"332","Normal/Others","WS/MP100/2024-2025/158047-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Ettolikkal Road","11-Dec-2024","18-Mar-2025","1000000","Physical Inspection"
"333","Normal/Others","WS/MP100/2025-2026/158061-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Paika Theaterpady – Bajanamandiram Road","11-Dec-2024","07-May-2025","500000","Work partially Completed"
"334","Normal/Others","WS/MP100/2025-2026/158074-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Concreting of Thunduvila Lane","11-Dec-2024","16-Jun-2025","353523","Physical Inspection"
"335","Normal/Others","WS/MP100/2025-2026/158075-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Korapparambu – Chittiyamkonam Road","11-Dec-2024","25-Apr-2025","407926","Physical Inspection"
"336","Normal/Others","WS/MP100/2025-2026/158076-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Sreenarayanaguru Ambalam- Vavanakulangara Road","11-Dec-2024","13-May-2025","472568","Physical Inspection"
"337","Normal/Others","WS/MP100/2025-2026/158077-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","Construction of Ezhachery Vallikunnel Road","11-Dec-2024","04-Apr-2025","353920","Physical Inspection"
"338","Normal/Others","WS/MP094/2025-2026/159415-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Varikkanikkal Road Tarring(Ward-6) Kanichar Panchayat","17-Dec-2024","09-Jan-2026","491361","Physical Inspection"
"339","Normal/Others","WS/MP18329/2025-2026/160823-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","Constructi on of new road: Nedungad - Koonampa ra road: Panakkad - Thekkethodu road. (Pukkoya Thangal Road)","22-Dec-2024","16-Jan-2026","725857","Physical Inspection"
"340","Normal/Others","WS/MP18329/2024-2025/162284-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","Construction of new road:- Muvattupuzha Taluk, Payipra Grama Panchayat, ward 17, Chakkunnam Ambalam - Ponnoppadi Juma Masjid canal bund road.","30-Dec-2024","18-Mar-2025","400062","Physical Inspection"
"341","Repair and Renovation","WS/MP102/2025-2026/165847-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Maintenance works of Thazhathangadi - Moodakkolli - Gudalur Road, Poothady Grama Panchayath","15-Jan-2025","14-Jan-2026","2000000","Sanction"
