"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"819","Normal/Others","WS/MP096/2025-2026/220994-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Malaparamb - Vallanchira road or pathway, Ward no. 14, Anakkayam Panchayat","22-Jul-2025","400000","06-Mar-2026"
"820","Normal/Others","WS/MP096/2025-2026/220997-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of CNG Kalamkunnu road or pathway, Ward No.17, Vazhikadavu Panchayat","22-Jul-2025","500000","14-Jan-2026"
"821","Normal/Others","WS/MP096/2025-2026/220998-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Pokkattukuzhi  Perunnamkunnu Link road or pathway, ward no.04, Irimbiliyam Panchayat","22-Jul-2025","770929","14-Jan-2026"
"822","Repair and Renovation","WS/MP096/2026-2027/221003-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Onnapuda Cheerambathur Parappil road or pathway, Ward No.05, Moorkkanad Panchayat","22-Jul-2025","1500000","16-Jul-2026"
"823","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Naduvathakulam - Panaath tracktor road or pathway, Valavannur Panchayat","22-Jul-2025","1000000","NA"
"824","Normal/Others","WS/MP096/2025-2026/221007-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Njanjipoyi - Elassery road or pathway, ward no.19, Urgattiri Panchayat","22-Jul-2025","500000","15-Jan-2026"
"825","Normal/Others","WS/MP096/2025-2026/221008-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Palode - Mulanppilakkal road or pathway, ward no.19, Urgattiri Panchayat","22-Jul-2025","256570","15-Jan-2026"
"826","Normal/Others","WS/MP096/2025-2026/221013-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Parammal Anganvadi - Parachina road or pathway, ward no. 12, Kodur Panchayat","22-Jul-2025","399174","15-Jan-2026"
"827","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Palakkalvetta - Paloorkuzhipadam road or pathway, Ward No.03, Thuvvur Panchayath","22-Jul-2025","300000","NA"
"828","Normal/Others","WS/MP102/2025-2026/223206-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Nayadampoyil ST Colony - Pottanpara Road, Chaliyar Grama Panchayath","29-Jul-2025","847438","15-Nov-2025"
