"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"31","Normal/Others","WS/MP18425/2025-2026/202248-Construction of toilet blocks","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of 01 girl,1 boy toilet set at PMSHRI GSSS PINJORE","21-May-2025","07-Aug-2025","561000","Work partially Completed"
"32","Normal/Others","WS/MP18425/2025-2026/202260-Construction of toilet blocks","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","Construction of 02 sets of toilets 1 boy ,1 girl at GPS BARWALA","21-May-2025","07-Aug-2025","561000","Work partially Completed"
"33","Normal/Others","WS/MP18425/2026-2027/215053-Purchase of IT systems, including hardware and software for educational purposes","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","establishment of digital library in govt polytechnic sector 26 panchkula","05-Jul-2025","27-Jul-2026","813000","Sanction"
"34","Normal/Others","WS/MP18425/2025-2026/247749-Development of playground","Haryana","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","development of play ground with ipb block,at government moddle school, bal chhappar,saraswati nagar","13-Nov-2025","17-Dec-2025","483000","Work partially Completed"
"35","Normal/Others","WS/MP18425/2025-2026/202261-Construction of buildings for crèches and anganwadies","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","CONSTRUTION OF BOUNDARY WALL AND TOILET AT AAGANWADI,BITNA SEURI WARD 7,KALKA","21-May-2025","07-Aug-2025","1069000","Time Estimation"
"36","Repair and Renovation","WS/MP18425/2025-2026/215056-Construction of buildings for crèches and anganwadies","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","repair and renovation BCW 1 anganwadi at pinjore block","05-Jul-2025","07-Aug-2025","550000","Time Estimation"
"37","Repair and Renovation","WS/MP18425/2025-2026/215057-Construction of buildings for crèches and anganwadies","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","repair and renovation Rajjipur 1 anganwadi at pinjore block","05-Jul-2025","07-Aug-2025","550000","Time Estimation"
"38","Repair and Renovation","WS/MP18425/2025-2026/215058-Construction of buildings for crèches and anganwadies","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","plaster ,floor repair ,whole kitchen repair ,white wash and main gate required.","05-Jul-2025","07-Aug-2025","270000","Physical Inspection"
"39","Repair and Renovation","WS/MP18425/2025-2026/215059-Construction of buildings for crèches and anganwadies","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","repair and renovation likefloor epair,roof repair,wall plaster.kitchen toilet repair and one side boundry in Raipur rani 4 anganwadi","05-Jul-2025","07-Aug-2025","342000","Work partially Completed"
"40","Normal/Others","WS/MP18425/2025-2026/215060-Construction of buildings for crèches and anganwadies","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","repair and renovation at anganwadi centre in bhareli barwala","05-Jul-2025","07-Aug-2025","145000","Physical Inspection"
"41","Normal/Others","WS/MP18425/2025-2026/247750-Purchase of furniture and fixtures for educational purposes","Haryana","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of iron shed at government primary school,mansoor pur","13-Nov-2025","17-Dec-2025","350000","Vendor Identification"
"42","Normal/Others","WS/MP299/2025-2026/247700-Purchase of hospital equipment","Haryana","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","29-Jan-2026","1336000","Sanction"
"43","Normal/Others","WS/MP299/2025-2026/247701-Purchase of hospital equipment","Haryana","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","29-Jan-2026","1336000","Sanction"
"44","Normal/Others","WS/MP299/2025-2026/247703-Purchase of hospital equipment","Haryana","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","29-Jan-2026","1336000","Sanction"
"45","Normal/Others","WS/MP299/2025-2026/247704-Purchase of hospital equipment","Haryana","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","29-Jan-2026","1336000","Sanction"
"46","Normal/Others","WS/MP299/2025-2026/247705-Purchase of hospital equipment","Haryana","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","29-Jan-2026","1336000","Sanction"
"47","Normal/Others","WS/MP299/2025-2026/247706-Purchase of hospital equipment","Haryana","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","29-Jan-2026","1336000","Sanction"
"48","Normal/Others","WS/MP299/2025-2026/247707-Purchase of hospital equipment","Haryana","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","29-Jan-2026","1336000","Sanction"
"49","Normal/Others","WS/MP299/2025-2026/247858-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"50","Normal/Others","WS/MP299/2025-2026/247859-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"51","Normal/Others","WS/MP299/2025-2026/247860-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"52","Normal/Others","WS/MP299/2025-2026/247861-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"53","Normal/Others","WS/MP299/2025-2026/247862-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"54","Normal/Others","WS/MP299/2025-2026/247863-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"55","Normal/Others","WS/MP299/2025-2026/247864-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"56","Normal/Others","WS/MP299/2025-2026/247865-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"57","Normal/Others","WS/MP299/2025-2026/247867-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"58","Normal/Others","WS/MP299/2025-2026/247868-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"59","Normal/Others","WS/MP299/2025-2026/247869-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"60","Normal/Others","WS/MP299/2025-2026/247870-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"61","Normal/Others","WS/MP299/2025-2026/247871-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","15-Nov-2025","02-Feb-2026","1336000","Sanction"
"62","Normal/Others","WS/MP299/2025-2026/247872-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","14-Nov-2025","02-Feb-2026","1336000","Sanction"
"63","Normal/Others","WS/MP299/2025-2026/247873-Purchase of hospital equipment","Haryana","PANCHKULA(DRDA PANCHKULA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Purchase of breast cancer screening device","14-Nov-2025","02-Feb-2026","1336000","Sanction"
"64","Normal/Others","WS/MP18425/2026-2027/271353-Purchase of ambulances (Four, three and two wheelers)","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","1 NO OF Advanced Life Support (ALS) ambulance","27-Feb-2026","11-Jun-2026","4826200","Sanction"
"65","Normal/Others","WS/MP18402/2025-2026/219874-Construction of water tanks","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Installation of Water Tanker in Stadium","19-Jul-2025","22-Aug-2025","233000","Vendor Identification"
"66","Normal/Others","WS/MP18425/2025-2026/247826-Construction of water tanks","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","construction of water tank at village badwa","13-Nov-2025","26-Dec-2025","200000","Physical Inspection"
"67","Normal/Others","WS/MP18402/2025-2026/252843-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of Mobile Water Tanker.","08-Dec-2025","03-Feb-2026","150000","Vendor Identification"
"68","Normal/Others","WS/MP18402/2025-2026/252844-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of Mobile Water Tanker","08-Dec-2025","03-Feb-2026","150000","Vendor Identification"
"69","Normal/Others","WS/MP18402/2025-2026/253318-Purchase of mobile water tankers","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of Mobile water tanker for Dhaani Kamalwala road.","10-Dec-2025","28-Jan-2026","199000","Sanction"
"70","Normal/Others","WS/MP18402/2025-2026/253320-Purchase of mobile water tankers","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of mobile water tanker for village Rajgarh Dobhi.","10-Dec-2025","28-Jan-2026","199000","Sanction"
"71","Normal/Others","WS/MP18402/2025-2026/253330-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of mobile water tanker for Gram Panchayat Sidhan.","10-Dec-2025","15-Dec-2025","180000","Physical Inspection"
"72","Normal/Others","WS/MP18402/2026-2027/279750-Purchase of mobile water tankers","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of mobile water tankers","06-May-2026","02-Jul-2026","199000","Sanction"
"73","Normal/Others","WS/MP18402/2026-2027/279752-Purchase of mobile water tankers","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of mobile water tankers","06-May-2026","02-Jul-2026","199000","Sanction"
"74","Normal/Others","WS/MP18402/2026-2027/279753-Purchase of mobile water tankers","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of mobile water tankers","06-May-2026","02-Jul-2026","199000","Sanction"
"75","Normal/Others","WS/MP18402/2026-2027/279754-Purchase of mobile water tankers","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of mobile water tankers","06-May-2026","02-Jul-2026","199000","Sanction"
"76","Normal/Others","WS/MP18402/2025-2026/175517-Installing community drinking water plants","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of RO System (500-100 Lph) Including Water Cooling System, Water Tanks Stage Shed) in K.M. Govt. College, Narwana, Jind","13-Feb-2025","07-May-2025","1100000","Sanction"
"77","Normal/Others","WS/MP18402/2025-2026/200051-Installing community drinking water plants","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of Cycle Stand, Painting of School, and Ro Water Systems","15-May-2025","12-Jun-2025","497024","Physical Inspection"
"78","Normal/Others","WS/MP18425/2026-2027/292488-Installing community drinking water plants","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","Installation of 2 100 Ltr SS-304 Water Cooler (50 LPH cooling capacity) with protective steel cage, concrete base, BIS/ISI compliance, complete fittings, earthing and 6-month warranty","06-Jul-2026","31-Aug-2026","158200","Sanction"
"79","Normal/Others","WS/MP18425/2026-2027/292489-Installing community drinking water plants","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","Installation of 2 100 Ltr SS-304 Water Cooler (50 LPH cooling capacity) with protective steel cage, concrete base, BIS/ISI compliance, complete fittings, earthing and 6-month warranty","06-Jul-2026","31-Aug-2026","158200","Sanction"
