"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"86","Normal/Others","WS/MP18282/2025-2026/202365-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flodd Control Embankments at Menchu Jhora","26-May-2025","500000","14-Aug-2025"
"87","Normal/Others","WS/MP18282/2025-2026/202378-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Flood Control Embankments at Kholsa Upper Aho ward Under Aho Yangtam GPU","26-May-2025","500000","12-Nov-2025"
"88","Normal/Others","NA-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Flood Control Embankments along riverbank roadside at Adampool","15-Jul-2026","4000000","NA"
"89","Normal/Others","NA-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Flood Control Embankments along riverbank roadside at Adampool Part II","15-Jul-2026","4000000","NA"
"90","Normal/Others","NA-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of protection wall along Khera kholsa riverbank Khimshikha","15-Jul-2026","500000","NA"
"91","Normal/Others","NA-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of flood control embankments at Lower Sichey","15-Jul-2026","1000000","NA"
"92","Normal/Others","WS/MP18282/2025-2026/192729-Setting up of farmers’ training and assistance centers","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Setting of Farmers training and Assistance Center  at Bageyswari","08-May-2025","2500000","14-Aug-2025"
"93","Normal/Others","WS/MP18282/2025-2026/206326-Setting up of farmers’ training and assistance centers","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Setting of frarmers training assistance Centers","04-Jun-2025","500000","14-Aug-2025"
"94","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Link road without dranage system at Noap Gaon","15-Jul-2026","2500000","NA"
"95","Normal/Others","WS/MP18282/2026-2027/288290-Construction of footpaths and pedestrian ways","Sikkim","Mangan(DISTRICT COLLECTOR MANGAN_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Footpath and Padestrian Ways.","15-Jul-2026","1000000","16-Jul-2026"
"96","Normal/Others","NA-Construction of footpaths and pedestrian ways","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Footpath and Pedestrian ways to Boudha","15-Jul-2026","1200000","NA"
"97","Normal/Others","WS/MP18282/2025-2026/192717-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Plantation of tress for community of Latuk -Thek","08-May-2025","1200000","01-Sep-2025"
"98","Normal/Others","WS/MP18282/2025-2026/192718-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Plantation for the communities of Barapathing at kapchung Compartment Barapathing RF","08-May-2025","4000000","01-Sep-2025"
"99","Normal/Others","WS/MP18282/2025-2026/192719-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Plantation for the communities of Thekabong at Deorali Compartment 03 Parkha RF","08-May-2025","2700000","01-Sep-2025"
"100","Normal/Others","WS/MP18282/2025-2026/192720-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Plantation for the communities of Parkha at Deorali Compartment 04 Parkha RF","08-May-2025","1500000","01-Sep-2025"
"101","Normal/Others","WS/MP18282/2025-2026/192728-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Plantation for the communities of Safung Tribal Village","08-May-2025","4000000","01-Sep-2025"
"102","Normal/Others","WS/MP18282/2025-2026/192733-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Plantation for the communities of Machong at Barapathing RF machong part","07-May-2025","2000000","01-Sep-2025"
"103","Normal/Others","NA-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Plantation for community","15-Jul-2026","3000000","NA"
"104","Normal/Others","NA-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Plantation for community","15-Jul-2026","3500000","NA"
"105","Normal/Others","NA-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Plantation for Community","15-Jul-2026","3000000","NA"
"106","Normal/Others","NA-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tree Planation for community","15-Jul-2026","2300000","NA"
"107","Normal/Others","NA-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Tea Plantation at Lapthang ward","15-Jul-2026","2900000","NA"
"108","Normal/Others","NA-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Plantation at Bageshwari Ward","15-Jul-2026","2500000","NA"
"109","Normal/Others","NA-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Plantation at Barapathing Forest Area","15-Jul-2026","1300000","NA"
"110","Normal/Others","NA-Tree plantation for community","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Plantation at Barapathing Forest Range for community.","15-Jul-2026","1500000","NA"
"111","Normal/Others","WS/MP18282/2025-2026/202390- Providing sports equipment, except consumable items","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Providing Sports items to  different youth clubs under Linkey Parkha GPU","26-May-2025","800000","26-Nov-2025"
"112","Normal/Others","WS/MP18282/2024-2025/150018-Development of playfields and sports grounds","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Archery Field (Sport Complex at Karthok under Pakyong District","30-Oct-2024","1800000","10-Jan-2025"
"113","Normal/Others","WS/MP18282/2025-2026/192723-Development of playfields and sports grounds","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Development of Play Fields and Sports Ground at Pachey Samsing","08-May-2025","600000","05-Jul-2025"
"114","Normal/Others","WS/MP18282/2025-2026/137755-Lighting of public spaces","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Providing Power supply to newly constructed water tower and street light in approach footpath at Pradhan gaon, urpindara Aritar, Pakyong District","30-Aug-2024","1000000","21-Jul-2025"
"115","Normal/Others","NA-Lighting of public spaces","Sikkim","Namchi(IMPLEMENTING DISTRICT AGENCY, NAMCHI)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Lighting of Public Spaces Namthang Road at Mamring","15-Jul-2026","1500000","NA"
"116","Normal/Others","NA-Lighting of public spaces","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Lightining of Public Spaces saffung Village","15-Jul-2026","1500000","NA"
"117","Normal/Others","NA-Lighting of public spaces","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Lightining of Public Spaces in rey mendu GPU, gangtok District","15-Jul-2026","1500000","NA"
"118","Normal/Others","NA-Lighting of public spaces","Sikkim","Namchi(IMPLEMENTING DISTRICT AGENCY, NAMCHI)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Lightining Of Public Spaces Near Tek Gumpa","15-Jul-2026","1000000","NA"
"Grand Total"," "," "," "," "," "," "," "," "," ","14,59,96,595"
