"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"29","Normal/Others","WS/MP465/2026-2027/277567-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Ramakant Mishra house to Vijay Bajpai house in village Badarka.","10-Apr-2026","360000","19-Jun-2026"
"30","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Widening junction improvement work at Gandhinagar crossing in Unnao district.","07-Jan-2026","1980000","NA"
"31","Normal/Others","WS/MP465/2025-2026/257159-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work in the populated area from the Main Road of Rawatpur Lalaman Kheda in Vikas Khand Bighapur.","07-Jan-2026","3200000","28-Feb-2026"
"32","Normal/Others","WS/MP465/2025-2026/257160-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work and drain construction work in the populated area from Dariyabag main road in Vikas Khand Bighapur.","07-Jan-2026","2495000","28-Feb-2026"
"33","Normal/Others","WS/MP465/2025-2026/257161-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from the main road to in front of Ayush Chhotu Dwivedis house in the village council Nibai of Sikandarpur Karan development block.","07-Jan-2026","1975000","28-Feb-2026"
"34","Normal/Others","WS/MP465/2025-2026/257162-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work in the populated area of Nayakheda hamlet of Sattan village Panchayat, Sikanderpur Karan development block.","07-Jan-2026","1520000","28-Feb-2026"
"35","Normal/Others","WS/MP465/2025-2026/257163-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of the boundary wall in the premises of the statue of revered Babu Kalyan Singh Ji in the village of Kaithankheda, Gram Sabha Jansar, Development Block Nawabganj.","07-Jan-2026","2068000","28-Feb-2026"
"36","Normal/Others","WS/MP465/2025-2026/257164-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work and drain construction from Dhankoli Nihalkheda main road to the house of Shri Tej Bahadur Singh.","07-Jan-2026","1975000","27-Feb-2026"
"37","Normal/Others","WS/MP465/2025-2026/257165-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Khadnja to Gaurav Singhs house in the village Barbati of Sikanderpur Sirosi development block.","07-Jan-2026","1150000","28-Feb-2026"
"38","Normal/Others","WS/MP465/2025-2026/257166-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work up to Phoolmati Mata Temple in Mazra village Bairi of Gram Panchayat Shadipur, Development Block Bangarmau.","07-Jan-2026","998000","27-Feb-2026"
"39","Normal/Others","WS/MP465/2025-2026/257174-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from the asphalt road to the front of the primary school in Alampur.","07-Jan-2026","2200000","27-Feb-2026"
"40","Normal/Others","WS/MP465/2025-2026/257175-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Ganga Sagar Gate to Shivpal Gate in the village Adankheda of Sikandarpur Karan development block.","07-Jan-2026","790000","27-Feb-2026"
"41","Normal/Others","WS/MP465/2026-2027/277560-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of interlocking and drain in Ward No. 10 from Tiwari Chakki house to Sunder Lal house via Vishwanath Munshi house.","10-Apr-2026","1048000","19-Jun-2026"
"42","Normal/Others","WS/MP465/2026-2027/277561-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work on RaeBareli Road to Mamleshwar Mahadev link road at village Sikandarpur karan.","10-Apr-2026","1204000","19-Jun-2026"
"43","Normal/Others","WS/MP465/2025-2026/195996-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","ward no. 12 Pitambar nagar (Shiv Nagar) me Kalishankar Lodhi ke ghar se Aara machine ki aor Interlocking karya.","02-May-2025","1200000","02-Sep-2025"
"44","Normal/Others","WS/MP465/2025-2026/195997-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Chak nihali kheda me Sonu ke Engine ke thoda aage se Mauragi nadi tak Khadanja road Nirman karya.","02-May-2025","2500000","02-Sep-2025"
"45","Normal/Others","WS/MP465/2024-2025/168655-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from Pradeep Pandey house to Pintu Yadav house in village Tikargarhi in Block Bichiya.","10-Feb-2025","779000","26-Mar-2025"
"46","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction work of Amrit Sarovar returning wall and yoga center located on Vikas Khand Bighapur Dhanikheda Sagwar road.","10-Feb-2025","990000","NA"
"47","Normal/Others","WS/MP465/2025-2026/195907-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram sabha kuhumbhi me harijan basti me mohd. safi ke ghar se Dr. Bhimrao Ambedkar ki pratima tak interlock karya.","02-May-2025","1224000","15-Jul-2025"
"48","Normal/Others","WS/MP465/2025-2026/195908-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","ward no 8 pitambar naga rme Sanjay Tiwari ke makan se interlocking road tak interlocking karya.","02-May-2025","969000","15-Jul-2025"
"49","Normal/Others","WS/MP465/2025-2026/195909-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Ward no. 25 me Ramdeen ke ghar se Suresh Chandel ke makan tak Interlocking karya.","02-May-2025","750000","15-Jul-2025"
"50","Normal/Others","WS/MP465/2025-2026/195915-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Chandpur Jhalhae me Iqbal Shankar ke ghar se Kanhai Pandit ke ghar tak interlocking karya.","02-May-2025","1772000","15-Jul-2025"
"51","Normal/Others","WS/MP465/2025-2026/195986-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat Malauna ke veerampur me Damar road se Ramchandra prajapti ke ghar tak interlocking karya","02-May-2025","1226000","15-Jul-2025"
"52","Normal/Others","WS/MP465/2025-2026/195987-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat matukari ke majra Aat me Mataji ke mandir se Parshuram ke ghar tak interlocking karya","02-May-2025","1500000","15-Jul-2025"
"53","Normal/Others","WS/MP465/2025-2026/195988-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat mirzapur ke majra langdapur me Chedilal ke ghar se Tejram ke ghar tak Interlocking karya.","02-May-2025","986000","15-Jul-2025"
