"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"40","Normal/Others","WS/MP465/2024-2025/174834-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Gram Pariyar Damar Road to Shivkant house in Block Sikandarpur Sarosi Village Pariyar.","10-Feb-2025","26-Mar-2025","927000","Vendor Identification"
"41","Normal/Others","WS/MP465/2024-2025/174843-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking construction work from Mewalal house in village Salehpur Purva Ugu Unnao to front Rajesh house in Fatehpur Chaurasi.","10-Feb-2025","26-Mar-2025","550000","Vendor Identification"
"42","Normal/Others","WS/MP465/2024-2025/174845-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Vikas Khand Bighapur Gram Panchayat karmi construction work of interlocking and covered drain on the track on Dariyabad Abadi Bhag Road.","10-Feb-2025","26-Mar-2025","700000","Vendor Identification"
"43","Normal/Others","WS/MP465/2024-2025/174846-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction work of interlocking from Ramdas house to Sharda canal connecting road in Gram Panchayat Matlabpur village Kandharkheda.","10-Feb-2025","26-Mar-2025","1400000","Vendor Identification"
"44","Normal/Others","WS/MP465/2024-2025/174847-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","CC work from Nagendra Trivedi house to Jitendra Singh Parihar house in ward number 18 Gadankheda.","10-Feb-2025","26-Mar-2025","656000","Vendor Identification"
"45","Normal/Others","WS/MP465/2025-2026/174848-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Ram Naresh house to Lallu house in Majra Bhagnakheda of Gram Panchayat Mavaiya of development block Sumerpur.","10-Feb-2025","13-Jun-2025","1161000","Physical Inspection"
"46","Normal/Others","WS/MP465/2024-2025/174849-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","CC length 60 meters from main road to Tiwari ji chakki in Gadheva Karmi.","10-Feb-2025","26-Mar-2025","457000","Vendor Identification"
"47","Normal/Others","WS/MP465/2024-2025/137488-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ????????? ??? ??? ????? ?????? ???? ????? ?? ???? ????????? ??? ???? ??? ?? ???????? ?? ?? ?? ?????????? ?????","28-Aug-2024","21-Nov-2024","1097375","Physical Inspection"
"48","Normal/Others","WS/MP465/2024-2025/137489-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ????????? ?????? ??? ????? ?????? ??????? ???? ??? ????? ???? ?? ???????? ????? ?? ?????????? ?????","28-Aug-2024","21-Nov-2024","2145797","Physical Inspection"
"49","Normal/Others","WS/MP465/2024-2025/137490-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ????????? ??? ????? ???? ????? ????? ????? ?? ????????? ???? ?? ?????????? ?????","28-Aug-2024","21-Nov-2024","1169654","Physical Inspection"
"50","Normal/Others","WS/MP465/2024-2025/137491-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ??????? ?? ????? ?????? ?????? ??? ??? ???? ?? ????????? ?? ?? ?? ?????????? ?????","28-Aug-2024","21-Nov-2024","1302091","Physical Inspection"
"51","Normal/Others","WS/MP465/2024-2025/137492-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","??????? ??????? ??? ?? ????? ???? 8 ??? ????? ??????? ?? ?? ?? ???? ?? ?? ?? ?????????? ?????","28-Aug-2024","21-Nov-2024","334804","Physical Inspection"
"52","Normal/Others","WS/MP465/2024-2025/137493-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","??? ?? ??????? ?????? ??? ??? ???? ?????? ?? ?? ?? ???? ?? ?? ?? ???? ?????????? ?? ?? ?? ?????????? ?????","28-Aug-2024","05-Dec-2024","1066257","Physical Inspection"
"53","Normal/Others","WS/MP465/2024-2025/137494-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","?????? ??? ?? ?????? ??? ??? ????? ???? 8 ???? ???? ?? ?? ?? ??????? ?? ?? ?? ?????????? ?????","28-Aug-2024","21-Nov-2024","294822","Physical Inspection"
"54","Normal/Others","WS/MP465/2024-2025/137495-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ?????? ?? ????? ?????? ???????? ????? ?? ???? ????? ????? ??? ????? ???? ?? ?????? ?? ???? ???? ?? ?? ?? ?????????? ?????","28-Aug-2024","21-Nov-2024","517653","Physical Inspection"
"55","Normal/Others","WS/MP465/2024-2025/137496-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","?????? ??? ?? ??????? ?????????? ??? ????????? ???? ?? ??? ??? ???? ? ?????????? ?????","28-Aug-2024","21-Nov-2024","848185","Physical Inspection"
"56","Normal/Others","WS/MP465/2024-2025/168651-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from near the house of former MLA Devki Nandan to the house of Rahul Patel in Block Sumerpur.","10-Feb-2025","26-Mar-2025","1731000","Vendor Identification"
"57","Normal/Others","WS/MP465/2024-2025/168652-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block Sikandarpur karan me Gram panchayat dubeypur me Maharshi Dayanand Aadarsh Inter College se Vinod Dixit ke ghar ki aor interlocking nirman karya.","10-Feb-2025","26-Mar-2025","1578000","Vendor Identification"
"58","Normal/Others","WS/MP465/2025-2026/168653-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from Devidayal house to Vijay Shankar house via Mahadev Baba Temple in village Sarai Manihar in Block Sumerpur.","10-Feb-2025","13-Jun-2025","862000","Work partially Completed"
"59","Normal/Others","WS/MP465/2025-2026/210794- Providing sports equipment, except consumable items","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Providing the Sport equipments for training as per letter attached. 4693 dt 20.06.2025","20-Jun-2025","19-Jan-2026","1278600","Work partially Completed"
"60","Normal/Others","WS/MP465/2025-2026/168656-Construction of community centers and community halls","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction work of Baraatshaala in village Harikheda Majra Katav in Block Purva.","10-Feb-2025","25-Jun-2025","1843000","Work partially Completed"
"61","Normal/Others","WS/MP465/2026-2027/277568-Construction of community centers and community halls","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of a Community hall in village Sanjhamau in block Sumerpur","10-Apr-2026","19-Jun-2026","1702000","Sanction"
"62","Trust and Society","WS/MP465/2025-2026/196761-Construction of rooms and halls in school and colleges","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","School me 02 Kamre Nirman karya hetu","05-May-2025","13-May-2025","500000","Work partially Completed"
"63","Normal/Others","WS/MP465/2025-2026/174851-Setting up of laboratories","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction work of one laboratory rooms in Pandit Dev Krishna Inter College, Sagwar, vikas khand Bighapur, Unnao.","10-Feb-2025","13-Jun-2025","700000","Work partially Completed"
"64","Normal/Others","WS/MP465/2025-2026/189652-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","UNNAO KE SAMUDAYIK SWASTHYA KENDRA NAWABGANJ SAFIPUR BANGARMAU HASANGANJ PURWA ME MNCU KE ROOP ME UCCHIKRIT KARNE HETU KARYA KARANE KE LIYE-MUKHYA CHIKITSA AADHIKARI UNNAO","07-Apr-2025","19-Dec-2025","1367000","Vendor Identification"
"65","Normal/Others","WS/MP465/2026-2027/257122-Purchase of hospital equipment","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","For a CPAP machine in the Sick Newborn Care Unit set up in the Womens Hospital in Unnao district","07-Jan-2026","05-Aug-2026","164999","Sanction"
"66","Normal/Others","WS/MP465/2025-2026/196762-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Ward no., 18 Gadankheda me Amar Shaheed Gulab singh lodhi park ke pass 01 water cooler.","05-May-2025","15-Jul-2025","725000","Work partially Completed"
"67","Normal/Others","WS/MP465/2025-2026/196759-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block bichiya ke gram hussain nagar BJP Office ke pass 01 water cooler installation.","05-May-2025","15-Jul-2025","725000","Work partially Completed"
