"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"187","Normal/Others","WS/MP831/2025-2026/144713-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of road at New Nilibari from Kanti Chakrabarty house to Kalu Chakrabarty house under Bangaldaba VCDC, chirang.","30-Sep-2024","26-Aug-2025","1200000","Vendor Identification"
"188","Normal/Others","WS/MP831/2025-2026/145417-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of road at Nayachora p-5 under Aeibhandarani VCDC.","04-Oct-2024","23-May-2025","1499451","Physical Inspection"
"189","Normal/Others","WS/MP831/2025-2026/147354-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from Damfer house to Hareswar Aopramhary at Sanapur village under Sidli Block.","15-Oct-2024","26-Aug-2025","500000","Vendor Identification"
"190","Normal/Others","WS/MP831/2026-2027/147355-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from Ganga Mandir to Biren Ray house at Tangabari village.","15-Oct-2024","05-Aug-2026","500000","Vendor Identification"
"191","Normal/Others","WS/MP831/2025-2026/147356-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from Tarjan house to Zulko house under Kajalgaon VCDC","15-Oct-2024","12-Aug-2025","500000","Vendor Identification"
"192","Normal/Others","WS/MP831/2025-2026/147357-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of road from Bangaldaba PWD road to Dodraguri village road under Bangaldaba VCDC.","15-Oct-2024","24-Dec-2025","500000","Vendor Identification"
"193","Normal/Others","WS/MP831/2025-2026/147358-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from Badsha Ali house to Hasraobari Shamshan ghat under Birhangaon VCDC.","15-Oct-2024","04-Nov-2025","500000","Vendor Identification"
"194","Normal/Others","WS/MP831/2025-2026/147359-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road at Bandwguri village road under Rowmari VCDC.","15-Oct-2024","22-Dec-2025","500000","Vendor Identification"
"195","Normal/Others","WS/MP831/2026-2027/147360-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road at Katalguri village under Dangtal VCDC.","15-Oct-2024","24-Jul-2026","500000","Vendor Identification"
"196","Normal/Others","WS/MP071/2024-2025/149065-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Sangbadik Colony Road (Phase II)","22-Oct-2024","30-Jan-2025","780000","Vendor Identification"
"197","Normal/Others","WS/MP071/2024-2025/149066-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Kali Mandir Road at Maligaon (Phase II)","22-Oct-2024","30-Jan-2025","790000","Vendor Identification"
"198","Normal/Others","WS/MP071/2024-2025/158406-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Samannay Path at Kahilipara, Ward No. 41, Guwahati","12-Dec-2024","25-Mar-2025","1600000","Vendor Identification"
"199","Normal/Others","WS/MP071/2025-2026/162673-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Load bearing drain at Bye Lane No. 1, Ward no. 23, Satirthanagar, Saukuchi, Guwahati","31-Dec-2024","22-Apr-2025","2700000","Vendor Identification"
