"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"27","Normal/Others","WS/MP18412/2024-2025/152550-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing 2 nos. Mahindra Stiller Auto 8 Seater Golf Cart for AGMC GBP Hospital Agartala.","14-Nov-2024","1000000","21-Mar-2025"
"28","Normal/Others","WS/MP18412/2025-2026/176709-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Maruti Suzuki EECO 1.2L Ambulance for Green Arrow Club, East Pratapgarh, Agartala, Ward No-43 (to be registered in the name of secretary Green Arrow Club, East Pratapgarh, Agartala)","20-Feb-2025","901000","15-Sep-2025"
"29","Normal/Others","WS/MP18412/2025-2026/176712-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing Maruti Suzuki EECO Ambulance 1.2L for Blue Lotus Club, Dhaleswar Road No.1, Agartala West Tripura","20-Feb-2025","901000","15-Sep-2025"
"30","Normal/Others","WS/MP18412/2025-2026/176714-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Maruti Suzuki Eeco Ambulance 1.2 L for Vivekananda Sangha, College tilla, Agartala.","20-Feb-2025","901000","15-Sep-2025"
"31","Normal/Others","WS/MP18412/2025-2026/176716-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Maruti Suzuki Eeco Ambulance 1.2 L Bir Bikram Club Melaghar Paul Para, Ward No-13, Sonamura Sub Divison.","20-Feb-2025","901000","15-Sep-2025"
"32","Normal/Others","NA-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Additional fund for providing one Mahindra Bolero Pioneer Youth Club at Amtila, Borgul, Kadamtala North Tripura (To be registered in favour of Secretary  for Pioneer Youth Club at Amtila, Borgul, Kadamtala North Tripura.","20-Feb-2025","48500","NA"
"33","Normal/Others","WS/MP18412/2024-2025/176735-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Additional fund for providing 2 nos. Mahindra Stiller Auto 8 sitter Golf Cart for AGMC GBP Hospital, Agartala","20-Feb-2025","290000","21-Mar-2025"
"34","Normal/Others","WS/MP18412/2025-2026/213926-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing Tata Ambulance for Yuvak Sangha, Madhya Bhubanban, Agartala","01-Jul-2025","892865","06-Dec-2025"
"35","Normal/Others","WS/MP18412/2025-2026/220828-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing 1 (One) TaTa Magic Ambulance for Anga Sanchalani Club, Kamar Pukur Par, Dhaleswar, Agartala, Ward - 23","21-Jul-2025","892865","06-Dec-2025"
"36","Normal/Others","WS/MP18412/2025-2026/254559-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing additional fund for Maruti Suzuki ECO ambulance for Bir Bikram Club, Melaghar, Paul Para","17-Dec-2025","16448","18-Dec-2025"
"37","Normal/Others","WS/MP18412/2025-2026/254560-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing additional fund for Maruti Suzuki ECO ambulance for Vivekananda Sangha, College Tilla, Agartala","17-Dec-2025","16448","18-Dec-2025"
"38","Normal/Others","WS/MP18412/2025-2026/254561-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing additional fund for Maruti Suzuki ECO ambulance for Blue Lotus Club, Dhaleswar, Agartala","17-Dec-2025","16448","18-Dec-2025"
"39","Normal/Others","WS/MP18412/2025-2026/254562-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing additional fund for Maruti Suzuki ECO ambulance for Green Arrow Club, East Pratapgarh, Agartala","17-Dec-2025","16448","18-Dec-2025"
