"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"292","Repair and Renovation","WS/MP831/2025-2026/132569-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Repairing of Gaonbura Bhawan at Dangagaon Village, Chirang","17-Jun-2024","700000","07-Jul-2025"
"293","Normal/Others","WS/MP831/2025-2026/132573-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Community hall At Bijni Dist Bodo Sahitya Sabha Office, Bhetgaon, Bijni.","17-Jun-2024","1500000","20-May-2025"
"294","Normal/Others","WS/MP831/2025-2026/132605-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Gendergaon Mahila Afad Community hall under Bangaldaba VCDC, Chirang.","18-Jun-2024","1000000","28-May-2025"
"295","Normal/Others","NA-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Mahila Community hall at Petlagaon under Dangtal VCDC, Sidli Dev. Block. chirang.","26-Dec-2025","1000000","NA"
"296","Repair and Renovation","WS/MP831/2025-2026/217296-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","repairing of Dwlwgami community hall near Dwlwgami Brahma mandir.","12-Jul-2025","700000","10-Mar-2026"
"297","Normal/Others","WS/MP831/2026-2027/217297-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Community hall at Silguri, Sudempuri.","12-Jul-2025","1000000","15-Jul-2026"
"298","Normal/Others","WS/MP831/2026-2027/217299-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Community hall near sudempuri Brahma Mandir.","12-Jul-2025","1000000","09-Jul-2026"
"299","Normal/Others","NA-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Community Hall at Kagrabari village under Rowmari VCDC.","12-Jul-2025","1400000","NA"
"300","Normal/Others","WS/MP831/2026-2027/217558-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Laojiripara community hall at Laojiripara near Sona Hotal.","12-Jul-2025","1000000","15-May-2026"
"301","Normal/Others","WS/MP831/2025-2026/218038-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Community Hall at Hadanpara village under Dangtal VCDC.","14-Jul-2025","1000000","12-Mar-2026"
