"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"11","Normal/Others","WS/MP879/2025-2026/237117-Development of public parks","Delhi","SOUTH(COMMISSIONER SOUTH)","Providing and Installation of Children play equipment in park","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","31-Jul-2026","592149"
"12","Normal/Others","WS/MP878/2025-2026/201545-Lighting of public spaces","Delhi","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Recommendation for the installation of 15 Solar Lights","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","N/A","17-Jul-2025",""
"13","Normal/Others","WS/MP878/2024-2025/184466-Lighting of public spaces","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Provision of lighting arrangements with 4m decorative poles at Shiv Chowk to 6-Block T-Point, South Patel Nagar Under Karol Bagh Zone.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","25-Jul-2025","797663"
"14","Normal/Others","WS/MP878/2025-2026/228274-Lighting of public spaces","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","regarding the provision of lighting arrangement at Bindra Park, 48 Block, East Patel Nagar in Ward No. 86 under Karol Bagh Zone.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","30-Dec-2025","234251"
"15","Normal/Others","WS/MP878/2024-2025/184473-Lighting of public spaces","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Provision of lighting arrangements with 4m decorative poles at Khanna Market, West Patel Nagar under Karol Bagh Zone.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","01-Jan-2026","1690420"
"16","Normal/Others","WS/MP878/2025-2026/213675-Street lights","Delhi","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Regarding the provisions of 171 Street Lights on Existing Poles at various locations of Kotla Mubarakpur, . I give my consent for the transfer  for the above-mentioned work from my MPLADS fund.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","18-Aug-2026","701100"
"17","Normal/Others","WS/MP878/2025-2026/228275-Lighting of public spaces","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","regarding the provision of lighting arrangements at the Park  East Patel Nagar and near Kali Mata Mandir Chowk in West Patel Nagar under KBZ.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","12-Feb-2026","358926"
"18","Normal/Others","WS/MP878/2025-2026/213658-Lighting of public spaces","Delhi","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Regarding the provision of octagonal poles and semi-high Mast Poles With LED Fittings at various locations of Kotla Mubarakpur, Ward No. 147. I give my consent for the transfer  for the above-mentioned work from my MPLADS fund.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","18-Aug-2026","732602"
"19","Normal/Others","WS/MP878/2025-2026/209492-Lighting of public spaces","Delhi","SOUTH(COMMISSIONER SOUTH)","regarding the installation of LED Street light fittings with accessories at various locations in Ward Tigri","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","07-Mar-2026","732362"
"20","Normal/Others","WS/MP878/2025-2026/213676-Lighting of public spaces","Delhi","SOUTH(COMMISSIONER SOUTH)","Regarding the provision of octagonal and SHML Poles with LED Fittings at various locations of Jaitpur. I give my consent for the transfer of the above mentioned work from my MPLADS fund.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","17-Aug-2026","1267350"
"21","Normal/Others","WS/MP878/2025-2026/228267-Lighting of public spaces","Delhi","NEW DELHI(COMMISSIONER MCD NEW DELHI)","regarding the provision of lighting arrangement in R Block Park and Gandhi Park in Ward No. 147 under Central Zone","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","18-Aug-2026","355941"
"22","Normal/Others","WS/MP878/2025-2026/228270-Lighting of public spaces","Delhi","NEW DELHI(COMMISSIONER MCD NEW DELHI)","regarding the provision of lighting arrangement in C-96 Park in Ward No. 147 under Central Zone","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","18-Aug-2026","370414"
"23","Normal/Others","WS/MP878/2025-2026/243241-Street lights","Delhi","SOUTH(COMMISSIONER SOUTH)","Recommendation for Provision of Lighting Arrangement and SemiHigh Mast Pole at Katwaria Sarai Lado Sarai Ward No 154","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","31-Jul-2026","606936"
"24","Normal/Others","WS/MP878/2025-2026/243240-Lighting of public spaces","Delhi","SOUTH(COMMISSIONER SOUTH)","Recommendation for Provision of Signage at Katwaria Sarai Ber Sarai Lado Sarai Ward No154","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","31-Jul-2026","919373"
"25","Normal/Others","WS/MP878/2025-2026/228268-Lighting of public spaces","Delhi","NEW DELHI(COMMISSIONER MCD NEW DELHI)","regarding the provision of lighting arrangement with octagonal poles (along with fittings) at various locations in Ward No. 147 under Central Zone.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","18-Aug-2026","710048"
"26","Normal/Others","WS/MP878/2025-2026/243293-Development of playfields and sports grounds","Delhi","SOUTH(COMMISSIONER SOUTH)","Recommendation for Supply and Installation of Children Play Equipment Lado Sarai Ward No 154","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","31-Jul-2026","449770"
"27","Normal/Others","WS/MP878/2025-2026/243307-Development of playfields and sports grounds","Delhi","WEST(COMMISSIONER MCD WEST)","Recommendation for Supply and Installation of Children Play Equipment at H No D 108 D Block Park, Nawada Housing Complex Mohan Garden Ward No113","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","31-Jul-2026","449770"
"28","Normal/Others","WS/MP878/2025-2026/228276-Installing community drinking water plants","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","regarding the provision of water coolers and Reverse Osmosis (RO) purification systems in various Municipal Corporation of Delhi (MCD) primary schools in Ward No. 86 under KBZ.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","14-Aug-2026","845756"
"29","Normal/Others","WS/MP878/2025-2026/214239-Lighting of public spaces","Delhi","SOUTH(COMMISSIONER SOUTH)","Regarding provision of Semi High Mast Light Poles and Lighting arrangements (Along with fittings ) in Ward no. 179, I give my consent for the release of funds for the above-mentioned work from my MPLADS fund.","Shri Sanjay Singh (2024-30) (NaN-NaN)","Elected MP","Images","31-Aug-2026","2260135"
"Grand Total"," "," "," "," "," "," "," "," "," ","3,19,83,520"
