"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"11","Normal/Others","WS/MP086/2025-2026/188713-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore inside Challaghatta village under Ramohalli Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","21-Jun-2025","410000","Work partially Completed"
"12","Normal/Others","WS/MP086/2025-2026/188719-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore near Ramayyana Lake in Kodipalya Village under Ramohalli Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","21-Jun-2025","405000","Work partially Completed"
"13","Normal/Others","WS/MP086/2025-2026/188721-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of Bore Well near Royal Bike Showroom Kaggalipur-1 in Kaggalipur Village under Kaggalipur Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","260000","Work partially Completed"
"14","Normal/Others","WS/MP086/2025-2026/188722-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of Bore Well near Kaggalipur-2, Kaggalipur Village under Kaggalipur Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","260000","Work partially Completed"
"15","Normal/Others","WS/MP086/2025-2026/188724-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of pump motor near Hombamma barangay of Tataguni village under Agar Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","500000","Work partially Completed"
"16","Normal/Others","WS/MP086/2025-2026/188734-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of pump motor near Chikkakodigehalli Village Ratna Barangay under Kodigehalli Gram Panchayat, Bengaluru Uttar Taluk","02-Apr-2025","21-Jun-2025","500000","Work partially Completed"
"17","Normal/Others","WS/MP086/2025-2026/188737-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work Near Seegehalli Village Under Kodigehalli Gram Panchayat, Bangalore Uttar Taluk","02-Apr-2025","21-Jun-2025","400000","Work partially Completed"
"18","Normal/Others","WS/MP086/2025-2026/188739-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work in Dhananayakanahalli Village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","400000","Work partially Completed"
"19","Normal/Others","WS/MP086/2025-2026/188741-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New borehole drilling work near Channenahalli Milk Producers Cooperative Society under Channenahalli Gram Panchayat, Bangalore South Taluk","02-Apr-2025","21-Jun-2025","400000","Work partially Completed"
"20","Normal/Others","WS/MP086/2025-2026/194196-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of borewell and pump motor at Bangalore urban, Yelahanka Talluk, Hesaraghatta Hobali, Shivakote Grama Panchayat, Muttugadahalli Village","24-Apr-2025","12-Nov-2025","500000","Work Completed"
