"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"41","Repair and Renovation","NA-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and renovation work of government school building in Navanagar, Bagalkote.","19-May-2025","475000","NA"
"42","Repair and Renovation","NA-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and renovation work of government school building.","19-May-2025","715000","NA"
"43","Repair and Renovation","WS/MP18364/2025-2026/200423-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and renovation work of government school building.","03-Jun-2025","100000","13-Nov-2025"
"44","Repair and Renovation","WS/MP18364/2025-2026/178645-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and Renovation work of Government Model Primary School building.","19-Mar-2025","300000","16-Jun-2025"
"45","Trust and Society","WS/MP18364/2025-2026/195531-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of School Rooms.","05-May-2025","600000","09-Jun-2025"
"46","Repair and Renovation","WS/MP18364/2025-2026/190509-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and Renovation work of Government Model Primary School.","11-Apr-2025","250000","16-Jun-2025"
"47","Repair and Renovation","WS/MP18364/2025-2026/190512-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and Renovation work of Government Higher Primary School.","11-Apr-2025","350000","09-Jun-2025"
"48","Repair and Renovation","NA-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and renovation work of government school building.","19-May-2025","1500000","NA"
"49","Normal/Others","WS/MP18364/2025-2026/200419-Purchase of IT systems, including hardware and software for educational purposes","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Purchase of IT systems, including hardware and software for educational purposes to government school.","19-May-2025","475000","10-Sep-2025"
"50","Normal/Others","NA-Purchase of IT systems, including hardware and software for educational purposes","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Providing IT systems, including hardware and software for educational purposes to Government First Grade College in Bagalkote.","11-Aug-2025","490000","NA"
"51","Normal/Others","NA-Purchase of furniture and fixtures for educational purposes","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Purchase of furniture and fixtures for educational purposes to Government First Grade College in Bagalkote.","14-Dec-2025","210000","NA"
"52","Normal/Others","WS/MP18364/2025-2026/190517-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","320000","09-Jun-2025"
"53","Normal/Others","WS/MP18364/2025-2026/190518-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","320000","09-Jun-2025"
"54","Normal/Others","WS/MP18364/2025-2026/190520-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","320000","09-Jun-2025"
"55","Normal/Others","WS/MP18364/2025-2026/190521-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","320000","09-Jun-2025"
"56","Normal/Others","WS/MP18364/2025-2026/190530-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","320000","09-Jun-2025"
"57","Normal/Others","WS/MP18364/2025-2026/200401-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Installation of Pure Drinking water unit to government school.","19-May-2025","320000","10-Sep-2025"
"58","Normal/Others","WS/MP18364/2026-2027/225813-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Providing motorized tricycle to Differently abled person- Sunanda Doddappa Hunagund, Nagar Khan peth, ward no.5, in Guledgudda town.","11-Aug-2025","99990","01-Jul-2026"
"59","Normal/Others","WS/MP18364/2026-2027/225814-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Providing motorized tricycle to Differently abled person- Iravva Kamappa Hulageri, in Alagundi B.K village.","11-Aug-2025","99990","01-Jul-2026"
"60","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of C.C. Road from Babu Desayi house to main road in Mallapur village.","20-Nov-2025","500000","NA"
"61","Normal/Others","WS/MP18364/2025-2026/210283-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of C.C Road At Hallur Gram Panchayath Property no.669, ward no. IV, in Hallur village.","24-Jun-2025","500000","18-Dec-2025"
"62","Normal/Others","WS/MP18364/2025-2026/199342-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Improvement work of Moharam road.","19-May-2025","493484","06-Aug-2025"
