"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"503","Normal/Others","WS/MP18364/2024-2025/149955-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","23-Apr-2025","499534"
"504","Normal/Others","WS/MP18364/2024-2025/149994-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Drain Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","14-May-2025","499429"
"505","Normal/Others","WS/MP18364/2025-2026/175971-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Karnataka","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Flood Control Embankments at Amba-Mamring Road, Near Mamring Sr.Sec School, Rhenock Assembly constituency of Pakyong District, of Sikkim state.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","28-May-2025","2496744"
"506","Normal/Others","WS/MP18364/2024-2025/149974-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499534"
"507","Normal/Others","WS/MP18364/2024-2025/149975-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499534"
"508","Normal/Others","WS/MP18364/2024-2025/149985-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499534"
"509","Normal/Others","WS/MP18364/2024-2025/149984-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499534"
"510","Normal/Others","WS/MP18364/2025-2026/172646-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499575"
"511","Normal/Others","WS/MP18364/2025-2026/172644-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499575"
"512","Normal/Others","WS/MP18364/2025-2026/172643-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499575"
