"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"30","Normal/Others","WS/MP18459/2026-2027/294421-Construction of community centers and community halls","Bihar","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","Shri Ram Nath Thakur (2026-32) (2026-2032)","Elected MP","Construction of a community hall in Village Kachainiya, Ward No. 15, Koran Saray Panchayat, near Ravidas Ashram.","12-Jul-2026","19-Aug-2026","1492000","Sanction"
"31","Normal/Others","WS/MP18459/2026-2027/294423-Construction of community centers and community halls","Bihar","ROHTAS(District Planning Officer Rohtas_IDA)","Shri Ram Nath Thakur (2026-32) (2026-2032)","Elected MP","Construction of a community hall near the Kali Temple in Village Srinagar Tola (under Rotwa Panchayat)","12-Jul-2026","10-Aug-2026","1500000","Sanction"
"32","Normal/Others","WS/MP18341/2025-2026/217018-Construction of public libraries and reading rooms","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Sanjay Kumar Jha (2024-30) (2024-2030)","Elected MP","Constrution work of new library building in ward no. 13 of Deep Paschim Panchayat.","10-Jul-2025","22-Sep-2025","999900","Work Completed"
"33","Normal/Others","WS/MP053/2025-2026/229769-Construction of public libraries and reading rooms","Bihar","NAWADA(District Planning Officer NAWADA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of a Library in Ward no. 7 in village Apsand.","28-Aug-2025","27-Sep-2025","2211000","Work partially Completed"
"34","Normal/Others","WS/MP18332/2025-2026/217319-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","BOUNDARY WALL- DARBHANGA, BAHADURPUR, WARD NO 48 PANDASARAI ME BHUTNATH SHAMSHAN KE BOUNDARY WALL WITH BRICKS WORK.","12-Jul-2025","17-Jul-2025","1399600","Physical Inspection"
"35","Normal/Others","WS/MP052/2024-2025/93005-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of a shed platform next to the Chhathi Mai ghat in village Kanchanpur of village Panchayat Jamunia of block Gaunaha. Estimated Amount Rs. - 6 lakh","01-Feb-2024","15-Oct-2024","593863","Physical Inspection"
"36","Normal/Others","WS/MP18300/2024-2025/134480-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet × 15 feet covered community chaupal.","05-Aug-2024","04-Jan-2025","526439","Physical Inspection"
"37","Normal/Others","WS/MP18300/2024-2025/134482-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet × 15 feet covered community chaupal.","05-Aug-2024","16-Dec-2024","529451","Physical Inspection"
"38","Normal/Others","WS/MP18300/2024-2025/134483-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet × 15 feet covered  community chaupal.","05-Aug-2024","17-Jan-2025","527755","Physical Inspection"
"39","Normal/Others","WS/MP18300/2024-2025/134540-Construction of common work sheds/ common covered sitting area","Bihar","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","05-Aug-2024","22-Oct-2024","442475","Physical Inspection"
"40","Normal/Others","WS/MP18300/2024-2025/134634-Construction of common work sheds/ common covered sitting area","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet× 15 feet covered  Community Chaupal","05-Aug-2024","18-Dec-2024","529800","Vendor Identification"
"41","Normal/Others","WS/MP18300/2024-2025/134635-Construction of common work sheds/ common covered sitting area","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet× 15 feet covered Community Chaupal","05-Aug-2024","18-Dec-2024","529800","Vendor Identification"
"42","Normal/Others","WS/MP18300/2024-2025/134637-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered  Community Chaupal","05-Aug-2024","04-Jan-2025","520774","Physical Inspection"
"43","Normal/Others","WS/MP18300/2025-2026/134641-Construction of common work sheds/ common covered sitting area","Bihar","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","05-Aug-2024","12-Jul-2025","530000","Work partially Completed"
"44","Normal/Others","WS/MP18300/2025-2026/134642-Construction of common work sheds/ common covered sitting area","Bihar","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered  Community Chaupal","05-Aug-2024","25-Jun-2025","516349","Physical Inspection"
"45","Normal/Others","WS/MP18300/2025-2026/134643-Construction of common work sheds/ common covered sitting area","Bihar","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","05-Aug-2024","12-Jul-2025","522430","Physical Inspection"
"46","Normal/Others","WS/MP18300/2025-2026/134650-Construction of common work sheds/ common covered sitting area","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal Rural","05-Aug-2024","17-May-2025","530000","Physical Inspection"
"47","Normal/Others","WS/MP18300/2025-2026/134654-Construction of common work sheds/ common covered sitting area","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal Rural","05-Aug-2024","11-Jul-2025","519536","Physical Inspection"
"48","Normal/Others","WS/MP18300/2024-2025/134656-Construction of common work sheds/ common covered sitting area","Bihar","ARWAL(District Planning Officer Arwal_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal Rural","05-Aug-2024","20-Nov-2024","508791","Physical Inspection"
"49","Normal/Others","WS/MP18300/2025-2026/134657-Construction of common work sheds/ common covered sitting area","Bihar","ARWAL(District Planning Officer Arwal_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal Rural","05-Aug-2024","28-Apr-2025","522080","Physical Inspection"
"50","Normal/Others","WS/MP18300/2024-2025/134659-Construction of common work sheds/ common covered sitting area","Bihar","KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered  Community Chaupal Rural","05-Aug-2024","05-Mar-2025","530000","Vendor Identification"
