"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"618","Bihar","Fitting of Sitting RCC Benches in Public Places","WS/MP052/2023-2024/93015","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","05-Apr-2024","ASSISTANT ENGINEER LAURIYA","Payment Success","199039"
"619","Bihar","Fitting of Sitting RCC Benches in Public Places","WS/MP052/2023-2024/93019","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","01-Jun-2024","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","260054"
"620","Bihar","Fitting of Sitting RCC Benches in Public Places","WS/MP052/2024-2025/104591","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","20-Mar-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","194628"
"621","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148014","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","07-Aug-2026","ASSISTANT ENGINEER MPLADS RAMNAGAR","Payment Success","1135793"
"622","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148020","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","24-Jan-2025","VIVEK KUMAR SINGH","Payment Success","1397071"
"623","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148021","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","24-Jan-2025","VIVEK KUMAR SINGH","Payment Success","597895"
"624","Bihar","Renovation of ponds and lakes","WS/MP052/2024-2025/148487","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","19-Nov-2024","ASSISTANT ENGINEER CHANPTIYA","Payment Success","746518"
"625","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148493","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","12-Sep-2025","ASSISTANT ENGINEER MPLADS RAMNAGAR","Payment Success","598811"
"626","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148517","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","20-Jun-2025","ASSISTANT ENGINEER LAURIYA","Payment Success","995979"
"627","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148518","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","13-Aug-2025","ASSISTANT ENGINEER LAURIYA","Payment Success","995745"
