"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"240","Normal/Others","WS/MP846/2025-2026/116468-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","CC ROADS FROM NTR Statue to R& B Road (Near water tank) in Mahitapur (V) Raikal (m)","09-Mar-2024","30-Aug-2025","229235","Physical Inspection"
"241","Normal/Others","WS/MP846/2025-2026/120692-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Side Drain from Kusumba Swamy (h) to Vasala Lachaiah (h)","09-Mar-2024","20-Feb-2026","500000","Sanction"
"242","Normal/Others","WS/MP846/2024-2025/120770-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","CC Drain from Govt School to Manchala Santosh in Katkapur (V)","16-Jul-2024","25-Oct-2024","500000","Physical Inspection"
"243","Normal/Others","WS/MP846/2026-2027/120886-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o CC Road from Daggulamma Temple to Nafeeja Masjid in 30th ward in Jagitial Tiown","09-Jul-2024","20-Jul-2026","500000","Sanction"
"244","Normal/Others","WS/MP846/2024-2025/122775-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Side Drain from IKP Center to Sarasani Anjaiah (H) B it1","09-Jul-2024","03-Feb-2025","500000","Physical Inspection"
"245","Normal/Others","WS/MP846/2024-2025/122787-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Side Drain from IKP Center to Sarasani Anjaiah (h) B, it.II","09-Jul-2024","03-Feb-2025","500000","Physical Inspection"
"246","Normal/Others","WS/MP846/2024-2025/122793-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","B/w of CC Road Near Markandeya Temple at Vengumatla (v) Gollapally (m)","09-Jul-2024","26-Sep-2024","500000","Sanction"
"247","Normal/Others","WS/MP846/2024-2025/122852-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from S Samma Rao (h) to K.Sadanandham (h) in Arepally (v) Srirampur (m)","09-Jul-2024","29-Aug-2024","200000","Work Completed"
"248","Normal/Others","WS/MP846/2024-2025/122853-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Rayamllu (h) to A.Mogili in Arepally (v) in Srirampur (m) Peddaplly Dist","09-Jul-2024","29-Aug-2024","200000","Work Completed"
"249","Normal/Others","WS/MP846/2024-2025/122857-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Roads from G Rajender (h) to G Sampath and P raghavalu (h) to P Jagan (h)in Arepally (v) Srirampur (m)","09-Jul-2024","29-Aug-2024","200000","Work Completed"
"250","Normal/Others","WS/MP846/2024-2025/122858-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Exisiting CC Road to Chintareddy laxma Reddy (h) in Arepally (v) Srirampur (m)","09-Jul-2024","29-Aug-2024","500000","Work Completed"
"251","Normal/Others","WS/MP846/2024-2025/133302-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from existing CC Road to Mahipal Reddy house in Malliah Pally H/O Arepally Village","10-Jul-2024","29-Aug-2024","462500","Physical Inspection"
"252","Normal/Others","WS/MP846/2024-2025/133986-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Govindu Chinna Anjaiah House To Sangoju Jagathaiah  House in Ramreddypally(v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","197859","Physical Inspection"
"253","Normal/Others","WS/MP846/2024-2025/133987-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Govindu  Mallaiah House To chinna Kurva Beeraiah House in Ramreddypally(v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","300000","Physical Inspection"
"254","Normal/Others","WS/MP846/2024-2025/133988-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Thandra Balaiah House To Govindu Shivaraju House in Ramreddypally(v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","299963","Physical Inspection"
"255","Normal/Others","WS/MP846/2024-2025/133989-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Sangoju Brahma Chary House To  Sangoju Srinivas House in Ramreddypally(v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","197859","Physical Inspection"
"256","Normal/Others","WS/MP846/2024-2025/133994-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Samba Nagamallesh house to Dayala Kistaiah House in Ramreddypally (v) of Urkonda (m).","23-Jul-2024","13-Aug-2024","500000","Physical Inspection"
