"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"28","Normal/Others","WS/MP885/2026-2027/278726-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Keshav Smruti Higher Secondary School, Alto Dabolim, Vasco Da Gama, South Goa, Goa.","21-Apr-2026","2565000","27-Jul-2026"
"29","Normal/Others","WS/MP885/2026-2027/282443-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Sarvodaya High School, Usgaon, Ponda, North Goa 403406","20-May-2026","2424897","01-Sep-2026"
"30","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Parse High School, Parcem,Pernem, North Goa 403512","20-May-2026","2415047","NA"
"31","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Alorna Panchyakroshi High School, Alorna, Pernem, North Goa","20-May-2026","1964977","NA"
"32","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Lokshikshan High School, Dhargal, Pernem, North Goa","18-Jul-2026","2485613","NA"
"33","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Shri Hanuman Vidyalaya, Velus, Valpoi, Sattari, North Goa","18-Jul-2026","2485613","NA"
"34","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Late Shri Vinayak Gopal Shenvi Vidyalaya, Rawanfond, Navelim, Salcete, South-Goa","18-Jul-2026","2485613","NA"
"35","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Triumph High School, Pundalik Nagar, Porvorim, Bardez, North Goa","28-Aug-2026","2585563","NA"
"36","Normal/Others","NA-Purchase of ambulances (Four, three and two wheelers)","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Ambulance for Village Panchayat Reis-Magos, Reis-Magos, Bardez, North Goa.","15-Jan-2026","1957875","NA"
"37","Normal/Others","WS/MP885/2024-2025/137240-Purchase of hearse van (Four, three and two wheelers)","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","PURCHASE OF HEARSE VAN for BICHOLIM MUNICIPAL COUNCIL","27-Aug-2024","3250000","26-Mar-2025"
"38","Normal/Others","NA-Purchase of hearse van (Four, three and two wheelers)","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Hearse Van for Corporation of The City of Panaji, Tiswadi, North Goa","14-Jul-2026","2987540","NA"
"39","Normal/Others","NA-Providing garbage collection and disposal systems","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Garbage Collection Vehicle for Village Panchayat Parcem, Parcem, Pernem, North Goa.","15-Jan-2026","1917200","NA"
"40","Normal/Others","NA-Providing garbage collection and disposal systems","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Garbage Collection Vehicle for Village Panchayat of Cumbarjua, Cumbarjua, Tiswadi, North Goa.","17-Feb-2026","1917200","NA"
"41","Normal/Others","NA-Street lights","Goa","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","INSTALLATION OF 20 CM LED HIGH MAST POLES WITH SIX LIGHTS EACH AT 20 DIFFERENT LOCATIONS IN SHAHJAHANPUR DISTRICT IN UTTAR PRADESH.","07-May-2025","4860000","NA"
"Grand Total"," "," "," "," "," "," "," "," "," ","11,17,34,773.99"
