"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"27","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Pattam  Dinamalar student edition","14-Jun-2026","360000","NA"
"28","Normal/Others","NA-Purchase of books and periodicals for libraries/digitization of library books","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","The Hindu in School published by The Hindu Group","14-Jun-2026","360000","NA"
"29","Normal/Others","WS/MP139/2023-2024/52649-Construction of buildings for crèches and anganwadies","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Anganwadi building in Balwadi street at Mettupalayam in Kathirkamam constituency","24-Nov-2023","1984940","05-Dec-2023"
"30","Normal/Others","WS/MP139/2025-2026/136374-Purchase of training equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of power loom- Jayanti 4X1 under pik butter type “60” -11 Nos and ""70"" - 1 No. looms with wood salay along with accessories and equipments - 12 sets","19-Aug-2024","3000000","15-Oct-2025"
"31","Normal/Others","WS/MP139/2025-2026/190119-Setting up of laboratories","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of new laboratory block at Women Engineering College in Lawspet constituency Puducherry","09-Apr-2025","11810000","13-Sep-2025"
"32","Normal/Others","WS/MP139/2023-2024/40610-Purchase of vans and buses for educational institutions","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of 38+1 seater bus - Make : SML-ISUZU:S7 5100 SDX BUS 38+1 - HIGHBACK SEATER BS6.","26-Oct-2023","2500000","07-Dec-2023"
"33","Normal/Others","WS/MP139/2026-2027/134712-Purchase of vans and buses for educational institutions","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Ashok Leyland Type II Non Deluxe Bus (NDX) with passenger carrying capacity of 57 seater.    Make: Ashok Leyland For the use of students of Pondicherry University.","05-Aug-2024","4028000","23-Jun-2026"
"34","Normal/Others","NA-Purchase of vans and buses for educational institutions","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of school van for Wiseman Higher Secondary School Puducherry FORCE CRUISER SCHOOL VAN","14-Jun-2026","1500000","NA"
"35","Normal/Others","NA-Purchase of vans and buses for educational institutions","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of students van FORCE TRAVELLER for use in Perunthalaivar Kamaraj Krishi Vigyan Kendra Kurumbapet Puducherry","19-Jun-2026","2300000","NA"
"36","Normal/Others","WS/MP139/2025-2026/136799-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of single storeyed RCC framed structure  in the Primary Health Centre at Lawspet, Puducherry for hospital purposes.","23-Aug-2024","5300000","12-Jan-2026"
"37","Normal/Others","WS/MP139/2025-2026/132774-Purchase of hospital equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Micro Surgical Dental Unit along with accessories for use in the Department of Conservative Dentistry & Endodontics in the Mahatma Gandhi Postgraduate Institute of Dental Sciences, Puducherry","26-Jun-2024","4223476","29-Jul-2025"
"38","Normal/Others","NA-Purchase of hospital equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of Fully automated urine chemistry and sedimentation analyzer","16-Jul-2026","5000000","NA"
