"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"26","Normal/Others","WS/MP139/2025-2026/146687-Providing drains and gutters for public drainage","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Phytoremediation Treatment system at Sanjeevi nagar in Kalapet Assembly constituency","10-Oct-2024","29-Jul-2025","4500000","Sanction"
"27","Normal/Others","WS/MP139/2026-2027/247454-Construction of public irrigation facilities","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the damaged U drain near beach road at Periyakalapet (Kuppam) in Kalapet Constituency.","11-Nov-2025","21-Jul-2026","1500000","Physical Inspection"
"28","Normal/Others","WS/MP139/2023-2024/46075-Establishing public ground water recharging facilities","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Deepening / De-Silting of the Nallambal Lake to augment water storage capacity and to develop the Kendriya Vidhyalaya School Campus located at R.S.No.54/8C/Pt in Poomangalam Village, Thirunallar using the de-silted earth from the Nallambal lake.","06-Nov-2023","07-Nov-2023","2655484","Physical Inspection"
"29","Normal/Others","WS/MP139/2025-2026/136388-Establishing public ground water recharging facilities","Puducherry","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Deepening / De-Silting of the pond in Keezhanthaangal lake at Rajanthaangal Village in Ward No. 12 of Kilpennathur Block in Thiruvannamalai District, Tamilnadu State, to augment water storage capacity in the area.","19-Aug-2024","17-Apr-2025","2492724","Physical Inspection"
"30","Normal/Others","WS/MP139/2023-2024/41241-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing formation and WBM road at Veronese nagar in Moolakulam in Oulgaret Constituency, Puducherry","27-Oct-2023","03-Nov-2023","841614","Physical Inspection"
"31","Repair and Renovation","WS/MP139/2023-2024/41242-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the 3rd cross street extension at Sankaradoss swamigal nagar in Kamaraj nagar constituency, Puducherry","27-Oct-2023","03-Nov-2023","490956","Physical Inspection"
"32","Repair and Renovation","WS/MP139/2023-2024/41243-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the 7th cross street at Rainbow nagar in Kamaraj nagar Constituency, Puducherry.","27-Oct-2023","03-Nov-2023","2401081","Physical Inspection"
"33","Normal/Others","WS/MP139/2023-2024/56123-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the 5th cross street at Krishna nagar in Kamaraj nagar constituency","04-Dec-2023","06-Dec-2023","1664185","Physical Inspection"
"34","Normal/Others","WS/MP139/2023-2024/64276-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the internal roads at 7th cross, 8th cross, 9th cross, 10th cross, 11th cross and 12th cross street at Sudhakar nagar in Oulgaret constituency","17-Dec-2023","18-Dec-2023","3873165","Physical Inspection"
"35","Normal/Others","WS/MP139/2024-2025/103176-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to A-lane at VVP Nagar, in Thattanchavady Constituency","12-Feb-2024","11-Jun-2024","1540526","Physical Inspection"
