"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"45","Normal/Others","WS/MP233/2024-2025/133826-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Approach Road","20-Jul-2024","09-Nov-2024","1200000","Physical Inspection"
"46","Normal/Others","WS/MP233/2025-2026/202323-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Road from Chingai Ward Junction to DIC Office Mon","21-May-2025","20-Jun-2025","21000000","Physical Inspection"
"47","Normal/Others","WS/MP233/2025-2026/225208-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The connecting road of the lower lane caters to hundreds of households and is the only road link has not been repaired for more than a decade. The construction of this road at Daily market will help the people, especially students of the locality in their daily commute","05-Aug-2025","05-Sep-2025","10000000","Physical Inspection"
"48","Normal/Others","WS/MP233/2025-2026/251266-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Approach road to nangke yatong park, and connection of link road by fresh cutting of earth. This  project will help for the development of public park which will be a recreational place for any visitor to the village. It will get hold for all  overview of Neighbouring village.","29-Nov-2025","25-Feb-2026","1500000","Physical Inspection"
"49","Normal/Others","WS/MP233/2026-2027/286110-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The road maintenance work includes repair of damaged road portions, filling of potholes, surface improvement, and necessary restoration works to enhance the durability and usability of the road. Proper attention will also be given to maintaining water drainage and preventing further deterioration of the road during adverse weather conditions. The project aims to provide better connectivity, reduce travel difficulties, and improve access to essential services, markets, schools etc...","16-Jun-2026","15-Jul-2026","520000","Work partially Completed"
"50","Normal/Others","WS/MP233/2024-2025/133814-Construction of footpaths and pedestrian ways","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Cemetery Footsteps","20-Jul-2024","04-Oct-2024","2000000","Physical Inspection"
"51","Normal/Others","WS/MP233/2025-2026/239079-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of proper footpath,  at Tanlao ward, Mon Town will benefit over 300 house hold living in the area and its adjacent Douglas colony for better accessibility and connection to the rest of the town.","29-Sep-2025","27-Oct-2025","1000000","Physical Inspection"
"52","Normal/Others","WS/MP233/2025-2026/249163-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Shantham ward located in Mon Town, Mon District with the population of around 1800, the construction of Drainage cum Footsteps 300 meter length in order to control float from rain water and wastewater as well as for the convenient shortcut footsteps  from ADC road to Govt. Higher Secondary School, Mon Town -C, which will be much help and convenient for the students","18-Nov-2025","09-Dec-2025","1000000","Physical Inspection"
"53","Normal/Others","WS/MP233/2025-2026/266721-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of footpath over drainage at sonari road NH below DC hill will be convenient for all the public as being a busiest traffic road the footpath will also served as safety for the people on foot. Modern footpaths benefit vulnerable groups like the elderly, children, people with disabilities using ramps, smooth surfaces, adequate width. This supports equitable. Drainage systems rarely provide such direct social inclusion","06-Feb-2026","20-Feb-2026","1000000","Physical Inspection"
"54","Normal/Others","WS/MP233/2026-2027/280805-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Footpaths in Hill and Rural Areas  The construction of footpaths in hill and rural areas is very important for improving daily life, safety, and connectivity of villages. In many hilly regions, roads are limited and people mostly travel on foot to reach schools, farms, markets, water sources, and health centres. Proper footpaths help villagers move safely and easily, especially during rainy seasons when the terrain becomes slippery and dangerous.","15-May-2026","19-May-2026","2600000","Work partially Completed"
"55","Normal/Others","WS/MP233/2025-2026/249159-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of a Footsteps pathway measuring approximately 220 to 250 meters in length. The proposed pathway will connect the Circular Road near SIB office, located adjacent to the Assam Rifle Camp, to the Old Government Quarters of the Agriculture Department. The work includes. Site clearing and levelling, Construction of concrete footsteps steps along the identified gradient. Installation of side drainage necessary. Providing proper finishing for safe pedestrian movement.","18-Nov-2025","09-Dec-2025","600000","Physical Inspection"
"56","Normal/Others","WS/MP233/2025-2026/251286-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of a Footsteps pathway, staircase measuring approximately 220, 250 meters in length. The proposed pathway will connect the Circular Road This pathway will significantly improve accessibility for residents and government employees, and drastically reduced the inconvenient faced by the elderly, School-going Children, and differently-abled individuals who find it challenging to navigate the uneven and unsafe terrain especially during monsoon within Tompang Ward, Mon Town.","29-Nov-2025","09-Dec-2025","1000000","Physical Inspection"
"57","Normal/Others","WS/MP233/2025-2026/251322-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Bellow DC hill located at Chingai ward, can be connected Jahjoh Ward to NH road Chingai ward with the construction of Staircase and footpath, which include of earth excavation. it will benefits women, children, senior citizens and school going students to take as shortcut path.","29-Nov-2025","09-Dec-2025","1619000","Physical Inspection"
"58","Normal/Others","WS/MP233/2025-2026/248293-Tree plantation for community","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Tree and crops plantation on a degraded mining land.","14-Nov-2025","06-Feb-2026","1000000","Physical Inspection"
"59","Normal/Others","WS/MP233/2026-2027/280806-Tree plantation for community","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Plantation of tree and fruits tree offer a wild range advantages that go far beyond just getting fruits. they combine general benefits of tree plantation with specific food producing and economic perks, some of the benefits are, carbon Claustration and climate action, Air and water purification, soil conservation, biodiversity support, free or low cost food, low maintenance, specific advantage in region like in Nagaland, India high rainfall and suitable climate for many tropical fruits tree.","15-May-2026","22-Jun-2026","3000000","Work partially Completed"
"60","Normal/Others","WS/MP233/2026-2027/286222-Tree plantation for community","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The project involves the plantation of various suitable tree species, including indigenous, fruit-bearing, and shade-providing trees, along with necessary activities such as site preparation, sapling procurement, plantation, and initial maintenance. The initiative will contribute towards improving air quality, reducing soil erosion, supporting biodiversity, and creating a greener landscape for future generations. The project reflects the commitment towards sustainable development and environment","16-Jun-2026","06-Aug-2026","520000","Work partially Completed"
"61","Normal/Others","WS/MP233/2025-2026/227169- Providing sports equipment, except consumable items","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Providing sporting equipments for the people of Merema Village.","14-Aug-2025","21-Oct-2025","300000","Work partially Completed"
"62","Normal/Others","WS/MP233/2025-2026/227311- Providing sports equipment, except consumable items","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Providing Musical instrument to the community would be much help for the youth of Luyong villager of Tuli so that their involvement in the field of Art, culture and music at the same time can improved and polish the talented youth.","23-Aug-2025","27-Oct-2025","300000","Physical Inspection"
"63","Normal/Others","WS/MP233/2025-2026/227934- Providing sports equipment, except consumable items","Nagaland","DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The music school at Dimapur need to be upgraded by providing musical instruments, as the enrolment is growing. This will help nurture young talents in and around Dimapur and music lovers from across the state.","23-Aug-2025","22-Oct-2025","500000","Physical Inspection"
"64","Normal/Others","WS/MP233/2025-2026/230254- Providing sports equipment, except consumable items","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Providing the sports equipments to Mon District Athletics Association will help the young athletes in various field of sports, as the association has 9 trained Technical Official with no support, if the proper equipments are being provided the organisation can guide and mould the youths of Mon District.","29-Aug-2025","24-Oct-2025","500000","Physical Inspection"
"65","Normal/Others","WS/MP233/2025-2026/239054- Providing sports equipment, except consumable items","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Organising Sansad Khel Mahotsav under PM Modi in the 17 district of Nagaland at Village level to district level. which will uplift the sport talent across the State to participate in the national and International level as well.","29-Sep-2025","21-Oct-2025","5304000","Physical Inspection"
"66","Normal/Others","WS/MP233/2025-2026/250935- Providing sports equipment, except consumable items","Nagaland","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The Chakhroma Wrestling Meet is one of the most prominent traditional sporting events in Chumukedima Village under Chumukedima District. it brings all the athletes, youth together and spectator from across Nagaland. the upcoming edition holds special significance as it aims to promote Indigenous Naga Wrestling and also highlight traditional belt, which is global recognition. therefore, under MPLADS the Wrestling Mat will be provided to uplift and push the athletic for the Asian Games.","27-Nov-2025","17-Jan-2026","400000","Physical Inspection"
