"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"32","Normal/Others","WS/MP233/2025-2026/225208-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The connecting road of the lower lane caters to hundreds of households and is the only road link has not been repaired for more than a decade. The construction of this road at Daily market will help the people, especially students of the locality in their daily commute","05-Aug-2025","10000000","05-Sep-2025"
"33","Normal/Others","WS/MP233/2025-2026/227148-Construction of public toilets and bathrooms","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The construction of toilet facility at Ruzhukhrie government school would provide clean and accessible toilet facilities ensuring comfort and hygiene for the students.","23-Aug-2025","1000000","09-Dec-2025"
"34","Normal/Others","WS/MP233/2025-2026/227169- Providing sports equipment, except consumable items","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Providing sporting equipments for the people of Merema Village.","14-Aug-2025","300000","21-Oct-2025"
"35","Normal/Others","WS/MP233/2025-2026/227311- Providing sports equipment, except consumable items","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Providing Musical instrument to the community would be much help for the youth of Luyong villager of Tuli so that their involvement in the field of Art, culture and music at the same time can improved and polish the talented youth.","23-Aug-2025","300000","27-Oct-2025"
"36","Normal/Others","WS/MP233/2025-2026/227312-Setting up public non-conventional energy plants","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","installation of Solar power grid at Oting Village will ensure continuous supply of power to the villages. This will also help the villagers to continue with their economic activity during night time and access to clean energy.","23-Aug-2025","1000000","10-Oct-2025"
"37","Normal/Others","WS/MP233/2025-2026/227934- Providing sports equipment, except consumable items","Nagaland","DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The music school at Dimapur need to be upgraded by providing musical instruments, as the enrolment is growing. This will help nurture young talents in and around Dimapur and music lovers from across the state.","23-Aug-2025","500000","22-Oct-2025"
"38","Normal/Others","WS/MP233/2025-2026/227941-Setting up public non-conventional energy plants","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Solar power grid at Lower Tiru and Upper Tiru will ensure continuous supply of power to this two villages. it will also help the villagers to continue with their economic activity during night time and access to clean energy","23-Aug-2025","1000000","14-Oct-2025"
"39","Normal/Others","WS/MP233/2025-2026/227942-Setting up public non-conventional energy plants","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Solar power grid at Lower Tiru and Upper Tiru will ensure continuous supply of power to this two villages. it will also help the villagers to continue with their economic activity during night time and access to clean energy","23-Aug-2025","1000000","14-Oct-2025"
"40","Normal/Others","WS/MP233/2025-2026/229712-Construction of additional rooms and halls in the existing public and community building","Nagaland","Noklak(Deputy Commissioner Noklak_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Heritage Home Stay is the only Govt. registration Home stay in Noklak District. it has been drowning its service since 2021. it is in need of major repairing of the roof, ceiling and electrification to provide better service to the people.","28-Aug-2025","1000000","09-Dec-2025"
"41","Normal/Others","WS/MP233/2025-2026/230254- Providing sports equipment, except consumable items","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Providing the sports equipments to Mon District Athletics Association will help the young athletes in various field of sports, as the association has 9 trained Technical Official with no support, if the proper equipments are being provided the organisation can guide and mould the youths of Mon District.","29-Aug-2025","500000","24-Oct-2025"
